bill_id,congress_term,introduced_at,official_title,short_title,policy_area,subjects,category_ids,category_labels,bill_type,reason,summary
s1654-113,113,2013-11-05,A bill to amend the Internal Revenue Code of 1986 to deny tax deductions for corporate regulatory violations.,Government Settlement Transparency and Reform Act,Taxation,"Business expenses|Civil actions and liability|Commodities markets|Criminal investigation, prosecution, interrogation|Income tax deductions|Securities|Tax administration and collection, taxpayers",1,Wage Hour & Benefits,enforcement,"The bill denies tax deductions for corporate regulatory violations, which would incentivize compliance with laws related to wage, hour, and benefit obligations by increasing the financial cost of non-compliance for non-governmental employers.","Government Settlement Transparency and Reform Act - Amends the Internal Revenue Code to expand provisions relating to the nondeductibility of fines and penalties, to prohibit a tax deduction for any amount paid or incurred to any governmental entity relating to the violation of any law or the investigation or inquiry into a potential violation of law. Exempts from such prohibition: (1) restitution or amounts paid to come into compliance with any law that was violated or otherwise involved in the investigation or inquiry, (2) amounts paid pursuant to a court order in a suit in which the governmental entity was not a party, and (3) amounts paid or incurred as taxes due. Imposes new reporting requirements on governmental entities relating to amounts paid as fines or for restitution."
hr2274-108,108,2003-05-22,"To designate the United States courthouse at South Federal Place in Santa Fe, New Mexico, as the ""Santiago E. Campos United States Courthouse"".",,Commemorations,Commemorations|Congressional tributes|Courthouses|Judges|Names|New Mexico,,,,"This bill designates a courthouse and does not relate to any private employer wage, hour, or benefit obligations.","Designates the U.S. courthouse located at South Federal Place in Santa Fe, New Mexico, as the Santiago E. Campos United States Courthouse."
s471-115,115,2017-02-28,A bill to preserve State authority to regulate air carriers providing air ambulance service.,Isla Rose Life Flight Act,Transportation and Public Works,Aviation and airports|Emergency medical services and trauma care|Federal preemption|State and local government operations|Transportation costs,,,,"This bill concerns state regulation of air ambulance services and does not relate to private employer wage, hour, or benefit obligations.","Isla Rose Life Flight Act

This bill provides that statutory provisions prohibiting state or local governments from enacting or enforcing a law or regulation relating to a price, route, or service of an air carrier shall not apply to a state or local law or regulation governing network participation, reimbursement and balance billing, or transparency for an air carrier providing air ambulance services."
s675-109,109,2005-03-17,"A bill to reward the hard work and risk of individuals who choose to live in and help preserve America's small, rural towns, and for other purposes.",New Homestead Act of 2005,Housing and Community Development,Agricultural cooperatives|Agricultural credit|Bank accounts|Capital gains tax|Capital investments|Catastrophic health insurance|College costs|Construction costs|Consumer cooperatives|Cost of living adjustments|County politics and government|Depreciation and amortization|Earned income tax credit|Electrification|Entrepreneurs|Excise tax|Federal aid to education|Federally-guaranteed loans|Government paperwork|Higher education|Home ownership|Housing finance|Income tax|Indexing (Economic policy)|Infrastructure|Infrastructure (Economics)|Internal migration|Investment tax credit|Job creation|Medical economics|Minimum tax|Nonprofit organizations|Residence requirements|Rural economic development|Rural education|Rural housing|Saving and investment|Savings and loan associations|Scholarships|Securities|Small business|Small towns|Student loan funds|Tax credits|Tax deductions|Tax exclusion|Tax exemption|Tax penalties|Tax returns|Tax-exempt organizations|Trusts and trustees|Urban affairs|Venture capital|Vocational and technical education,1,Wage Hour & Benefits,tax_credit_introduction,"The bill introduces several tax credits, including a credit for wages paid to employees in qualifying rural counties and a credit for small business investment expenditures, which relate to private employer wage and benefit conduct.","New Homestead Act of 2005 - Directs the Secretary of Education to repay a specified percentage (up to $2,000 per year) of certain education loans to an individual who completes a degree and both resides and is employed for at least five years in an area outside a metropolitan statistical area which for 20 years has a net out-migration of inhabitants of at least ten percent of the county population (qualifying county). Amends the Internal Revenue Code to allow a: (1) tax credit for the lesser of $5,000 or ten percent of the purchase price of a principal residence in a qualifying county; and (2) capital loss deduction with respect to a sale or exchange of a principal residence in a qualifying county. Provides for the creation of tax-exempt individual homestead accounts, funded by individual cash contributions and matching Federal contributions according to a specified formula, whose tax-free distributions after five years are used by residents of qualifying counties for qualified higher education or medical expenses, first-time homebuyer or business capitalization costs, or rollovers. Establishes a rural investment tax credit of 70 percent of the present value of new buildings (including rehabilitation projects) or 30 percent of the present value of existing buildings. Establishes a qualified rural small business investment credit of 30 percent of expenditures for starting or expanding a business, including costs for capital, plant and equipment, inventory expenses, and wages, but not including interest costs. Provides for accelerated depreciation of business property in rural investment projects. New Homestead Venture Capital Fund Act - Amends the Consolidated Farm and Rural Development Act to establish the New Homestead Venture Capital Fund (Fund), owned by private investors, to generate and provide equity capital to rural businesses in qualifying counties. Directs the Secretary of Agriculture to provide funding and guarantees for private investors in the Fund."
hr4311-114,114,2015-12-18,To prohibit the Internal Revenue Service from modifying or amending the standards and regulations governing the substantiation of charitable contributions.,Protecting Charitable Contributions Act of 2015,Taxation,Administrative law and regulatory procedures|Charitable contributions|Department of the Treasury|Income tax deductions|Internal Revenue Service (IRS),,,,"This bill concerns the substantiation of charitable contributions and does not relate to private employer wage, hour, or benefit obligations.","Protecting Charitable Contributions Act of 2015

This bill provides that the definitions and regulations in effect on January 1, 2015, relating to the substantiation of deductible charitable contributions in excess of $250, shall apply on and after the enactment date of the bill. The Internal Revenue Service shall not issue, revise, or finalize any regulation, revenue ruling, or other guidance relating to such definitions and regulations."
hr433-108,108,2003-01-28,To amend the Internal Revenue Code of 1986 to allow a minimum credit against the alternative minimum tax where stock acquired pursuant to an incentive stock option is sold or exchanged at a loss.,,Taxation,Employee stock options|Income tax|Losses|Minimum tax|Tax credits,,,,"The bill concerns a tax credit related to losses on incentive stock options and does not directly regulate or incentivize employer wage, hour, or benefit obligations as defined by the Violation Tracker category.",Amends the Internal Revenue Code to establish a special rule allowing a minimum credit against the alternative minimum tax where stock acquired pursuant to an incentive stock option is sold or exchanged at a loss.
hr3203-109,109,2005-07-11,To amend the Higher Education Act of 1965 to expand and extend the eligibility of Hispanic-serving institutions for assistance under title V of that Act.,Hispanic-Serving Institution Assistance Improvement Act of 2005,Education,Education of the disadvantaged|Federal aid to education|Higher education|Hispanic Americans|Minorities|Minority education,,,,"This bill relates to federal aid for Hispanic-Serving Institutions and does not address private employer wage, hour, or benefit obligations.","Hispanic-Serving Institution Assistance Improvement Act of 2005 - Amends the Higher Education Act of 1965 to expand and extend the eligibility of Hispanic-serving institutions for assistance under title V (Developing Institutions), by eliminating the two-year wait-out period between any two five-year grants."
hr6006-110,110,2008-05-08,"To amend title 10, United States Code, to authorize the Secretary of a military department, and the Secretary of Defense with respect to the Defense Agencies, to participate in conservation banking programs and in-lieu-fee mitigation programs.",,Armed Forces and National Security,Construction costs|Endangered species|Habitat conservation|Land banking|Military construction operations|Military operations|Military readiness|Military research|Military training|Nature conservation,,,,"This bill concerns military construction and conservation banking programs, and does not regulate private employer wage, hour, or benefit obligations.","Authorizes the Secretary of a military department, and the Secretary of Defense for a Defense Agency, when engaged or proposing to engage in military testing, operations, training, or another military readiness activity or military construction that may or will result in an adverse impact to one or more species protected (or pending protection) under any applicable provision of law, or habitat for such species, to make payments to a conservation banking program or ""in-lieu-fee"" mitigation sponsor approved in accordance with the Federal Guidance for the Establishment, Use and Operation of Mitigation Banks, the Guidance for the Establishment, Use, and Operation of Conservation Banks or any successor or related administrative guidance or regulation. Allows such payments to a conservation banking program or ""in-lieu-fee"" mitigation sponsor for military construction to be treated as eligible costs of the construction project."
s2452-108,108,2004-05-20,"A bill to require labeling of raw agricultural forms of ginseng, including the country of harvest, and for other purposes.",Ginseng Harvest Labeling Act of 2004,Agriculture and Food,Administrative procedure|Agriculture in foreign trade|Consumer education|Department of Agriculture|Dietary supplements|Fines (Penalties)|Grocery trade|Herbs|Imports|Labeling|Medicinal plants|Packaging|Retail trade|Signs and signboards|Wholesale trade,,,,"This bill concerns labeling requirements for ginseng and does not relate to private employer wage, hour, or benefit obligations.",Ginseng Harvest Labeling Act of 2004 - Amends the Agricultural Marketing Act of 1946 to require: (1) the labeling of raw ginseng offered for sale as food or a dietary supplement to contain country of harvest information; (2) ginseng importers to disclose country of harvest information at the point of U.S. entry. Authorizes the Secretary of Agriculture to impose civil monetary penalties for failure to make such disclosures.
hr3033-107,107,2001-10-04,To amend the Illegal Immigration Reform and Immigrant Responsibility Act of 1996 to authorize the appropriation of funds for the program to collect information relating to nonimmigrant foreign students and to provide for a GAO review of such program.,Foreign Student Database Funding Act of 2001,Immigration,Admission of nonimmigrants|Aliens|Authorization|Congressional investigations|Congressional reporting requirements|Data banks|Department of Justice|EBB Terrorism|Elementary and secondary education|Exchange of persons programs|Foreign students|Government paperwork|Higher education|Student records,,,,"This bill concerns funding for a database of nonimmigrant foreign students and does not relate to private employer wage, hour, or benefit obligations.",Foreign Student Database Funding Act of 2001 - Amends the Illegal Immigration Reform and Immigrant Responsibility Act of 1996 to authorize appropriations for the nonimmigrant foreign student information collection program. (Such program is currently fee-funded.)
