bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,claude_categories,claude_bill_type,claude_reason
s1654-113,113,2013-11-05,Taxation,"Business expenses|Civil actions and liability|Commodities markets|Criminal investigation, prosecution, interrogation|Income tax deductions|Securities|Tax administration and collection, taxpayers",A bill to amend the Internal Revenue Code of 1986 to deny tax deductions for corporate regulatory violations.,Government Settlement Transparency and Reform Act,,,"This bill addresses tax deductibility of fines and penalties paid to government entities across all regulatory violations, not specifically employer wage, hour, or benefit obligations under FLSA, WARN, ERISA, or FMLA."
hr2274-108,108,2003-05-22,Commemorations,Commemorations|Congressional tributes|Courthouses|Judges|Names|New Mexico,"To designate the United States courthouse at South Federal Place in Santa Fe, New Mexico, as the ""Santiago E. Campos United States Courthouse"".",,,,"Bill designates a courthouse name as a commemorative tribute; it does not regulate or incentivize any private employer conduct related to wages, hours, benefits, or other workplace obligations."
s471-115,115,2017-02-28,Transportation and Public Works,Aviation and airports|Emergency medical services and trauma care|Federal preemption|State and local government operations|Transportation costs,A bill to preserve State authority to regulate air carriers providing air ambulance service.,Isla Rose Life Flight Act,,,"This bill addresses state regulation of air ambulance pricing and billing practices, which involves consumer protection and healthcare reimbursement rather than employer wage, hour, or benefit obligations to employees."
s675-109,109,2005-03-17,Housing and Community Development,Agricultural cooperatives|Agricultural credit|Bank accounts|Capital gains tax|Capital investments|Catastrophic health insurance|College costs|Construction costs|Consumer cooperatives|Cost of living adjustments|County politics and government|Depreciation and amortization|Earned income tax credit|Electrification|Entrepreneurs|Excise tax|Federal aid to education|Federally-guaranteed loans|Government paperwork|Higher education|Home ownership|Housing finance|Income tax|Indexing (Economic policy)|Infrastructure|Infrastructure (Economics)|Internal migration|Investment tax credit|Job creation|Medical economics|Minimum tax|Nonprofit organizations|Residence requirements|Rural economic development|Rural education|Rural housing|Saving and investment|Savings and loan associations|Scholarships|Securities|Small business|Small towns|Student loan funds|Tax credits|Tax deductions|Tax exclusion|Tax exemption|Tax penalties|Tax returns|Tax-exempt organizations|Trusts and trustees|Urban affairs|Venture capital|Vocational and technical education,"A bill to reward the hard work and risk of individuals who choose to live in and help preserve America's small, rural towns, and for other purposes.",New Homestead Act of 2005,,,"This bill provides tax credits and incentives for individuals and businesses to relocate to rural areas, but does not regulate private employer wage, hour, or benefit obligations or introduce tax credits specifically tied to employer wage/hour conduct."
hr4311-114,114,2015-12-18,Taxation,Administrative law and regulatory procedures|Charitable contributions|Department of the Treasury|Income tax deductions|Internal Revenue Service (IRS),To prohibit the Internal Revenue Service from modifying or amending the standards and regulations governing the substantiation of charitable contributions.,Protecting Charitable Contributions Act of 2015,,,"This bill concerns tax deduction substantiation rules for charitable contributions and IRS regulatory authority, not private employer wage, hour, or benefit obligations."
hr433-108,108,2003-01-28,Taxation,Employee stock options|Income tax|Losses|Minimum tax|Tax credits,To amend the Internal Revenue Code of 1986 to allow a minimum credit against the alternative minimum tax where stock acquired pursuant to an incentive stock option is sold or exchanged at a loss.,,,,"This bill addresses individual taxpayer treatment of stock option losses under the alternative minimum tax, not private employer wage, hour, or benefit obligations covered by FLSA, WARN, ERISA, or FMLA."
hr3203-109,109,2005-07-11,Education,Education of the disadvantaged|Federal aid to education|Higher education|Hispanic Americans|Minorities|Minority education,To amend the Higher Education Act of 1965 to expand and extend the eligibility of Hispanic-serving institutions for assistance under title V of that Act.,Hispanic-Serving Institution Assistance Improvement Act of 2005,,,"This bill concerns federal educational assistance to Hispanic-serving institutions of higher education and does not address private employer wage, hour, benefit obligations, or related misconduct."
hr6006-110,110,2008-05-08,Armed Forces and National Security,Construction costs|Endangered species|Habitat conservation|Land banking|Military construction operations|Military operations|Military readiness|Military research|Military training|Nature conservation,"To amend title 10, United States Code, to authorize the Secretary of a military department, and the Secretary of Defense with respect to the Defense Agencies, to participate in conservation banking programs and in-lieu-fee mitigation programs.",,,,"This bill authorizes military departments to participate in conservation banking programs to mitigate environmental impacts from military activities; it involves government agency operations and environmental compliance, not private employer wage, hour, or benefit obligations."
s2452-108,108,2004-05-20,Agriculture and Food,Administrative procedure|Agriculture in foreign trade|Consumer education|Department of Agriculture|Dietary supplements|Fines (Penalties)|Grocery trade|Herbs|Imports|Labeling|Medicinal plants|Packaging|Retail trade|Signs and signboards|Wholesale trade,"A bill to require labeling of raw agricultural forms of ginseng, including the country of harvest, and for other purposes.",Ginseng Harvest Labeling Act of 2004,,,"This bill mandates country-of-origin labeling for ginseng products and imposes penalties on importers for noncompliance, which relates to agricultural product labeling and trade regulation, not private employer wage, hour, or benefit obligations."
hr3033-107,107,2001-10-04,Immigration,Admission of nonimmigrants|Aliens|Authorization|Congressional investigations|Congressional reporting requirements|Data banks|Department of Justice|EBB Terrorism|Elementary and secondary education|Exchange of persons programs|Foreign students|Government paperwork|Higher education|Student records,To amend the Illegal Immigration Reform and Immigrant Responsibility Act of 1996 to authorize the appropriation of funds for the program to collect information relating to nonimmigrant foreign students and to provide for a GAO review of such program.,Foreign Student Database Funding Act of 2001,,,"This bill authorizes appropriations for a foreign student database program under immigration law and does not regulate private employer wage, hour, or benefit obligations."
hr330-114,114,2015-01-13,Public Lands and Natural Resources,"Congressional oversight|Environmental assessment, monitoring, research|Intergovernmental relations|Land use and conservation|Marine and coastal resources, fisheries|Monuments and memorials|Parks, recreation areas, trails|Presidents and presidential powers, Vice Presidents|State and local government operations","To amend title 54, United States Code, to provide for congressional approval of national monuments and restrictions on the use of national monuments, to establish requirements for declaration of marine national monuments, and for other purposes.",Marine Access and State Transparency,,,"This bill regulates presidential authority to declare marine national monuments and requires congressional and state approval for such designations, involving public lands management and environmental policy rather than private employer wage, hour, or benefit obligations."
hr3923-106,106,2000-03-14,,Private Legislation,For the relief of En Chung Wu.,,,,"This is a private immigration relief bill granting permanent residence eligibility to a specific individual, with no connection to private employer wage, hour, or benefit obligations."
hr5072-115,115,2018-02-20,Immigration,Administrative law and regulatory procedures|Africa|Department of Homeland Security|Foreign labor|Immigration status and procedures|Liberia,To provide for the adjustment of status of certain nationals of Liberia to that of lawful permanent residents and for other purposes.,Liberian Refugee Immigration Fairness Act of 2018,,,"This bill addresses immigration status adjustment for Liberian nationals and does not regulate private employer wage, hour, benefit obligations, or any other form of corporate misconduct covered by the Violation Tracker categories."
s1126-115,115,2017-05-15,Immigration,Border security and unlawful immigration|Detention of persons|Immigration status and procedures|Intergovernmental relations|Law enforcement administration and funding|Public contracts and procurement|Public transit|Roads and highways|State and local government operations|Transportation programs funding,"A bill to prohibit certain Federal funds from being available to sanctuary jurisdictions that refuse to cooperate with the Federal Government on immigration matters or retaliate against border security contractors, and for other purposes.",Securing the Border and Protecting Our Communities Act,,,"This bill addresses federal funding eligibility for state and local jurisdictions based on immigration cooperation policies, not private employer wage, hour, or benefit obligations."
