bill_id,official_title,short_title,policy_area,subjects,category_qwen,bill_type_qwen,bill_category_qwen,reason_qwen,category_4o,bill_type_4o,bill_category_4o,reason_4o,category_sonnet,bill_type_sonnet,bill_category_sonnet,reason_sonnet
s792-115,"A bill to amend the Immigration and Nationality Act to establish an H-2B temporary non-agricultural work visa program, and for other purposes.",Save Our Small and Seasonal Businesses Act of 2017,Immigration,Administrative remedies|Congressional oversight|Department of Homeland Security|Foreign labor|Government information and archives|Government studies and investigations|Immigration status and procedures|Temporary and part-time employment|Visas and passports,1.0,enforcement,wage_hour,"The bill establishes specific wage, housing, and recruitment obligations for private employers utilizing H-2B temporary workers, directly regulating private employer conduct regarding worker compensation and conditions.",,,,"The bill primarily addresses immigration procedures and the H-2B visa program, not private employer wage or benefit obligations.",,,,"Bill establishes visa program requirements for H-2B temporary foreign workers and their employers, but does not address private employer wage, hour, or benefit obligations of the type covered by FLSA, ERISA, FMLA, or WARN Act enforcement."
s273-113,A bill to modify the definition of fiduciary under the Employee Retirement Income Security Act of 1974 to exclude appraisers of employee stock ownership plans.,,Labor and Employment,Accounting and auditing|Employee benefits and pensions|Securities,1.0,enforcement,pension,"Amends ERISA to modify the definition of fiduciary for employee stock ownership plans (ESOPs), directly regulating the scope of private employer and plan sponsor obligations regarding retirement benefit assets.",1,enforcement,pension,"Modifies ERISA fiduciary standards by excluding ESOP appraisers from fiduciary status, affecting private employer obligations related to pension plan management.",1,enforcement,pension,"Weakens ERISA fiduciary standards by exempting ESOP appraisers from fiduciary duties, directly reducing private employer obligations under retirement plan regulations."
hr2234-112,To amend the Fair Labor Standards Act of 1938 to strengthen the provisions relating to child labor.,CARE Act of 2011,Labor and Employment,"Administrative law and regulatory procedures|Crimes against children|Department of Labor|Hazardous wastes and toxic substances|Labor standards|Migrant, seasonal, agricultural labor|Worker safety and health|Youth employment and child labor",1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to strengthen prohibitions on oppressive child labor and increase penalties for violations, directly regulating private employer conduct regarding the employment of minors.",1,enforcement,wage_hour,"The bill strengthens child labor provisions under the FLSA, directly affecting private employer obligations regarding the employment of minors.",1,enforcement,wage_hour,"Strengthens FLSA child labor provisions by expanding hazardous occupation restrictions, eliminating agricultural exemptions, increasing penalties for violations, and prohibiting pesticide-related duties for workers under 18—all direct regulations of private employer wage and hour conduct."
hr2782-116,To amend the Internal Revenue Code of 1986 to repeal the 30-hour threshold for classification as a full-time employee for purposes of the employer mandate in the Patient Protection and Affordable Care Act and replace it with 40 hours.,Employee Flexibility Act of 2019,Taxation,Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes,1.0,enforcement,healthcare,"The bill amends the ACA employer mandate by raising the full-time employee threshold from 30 to 40 hours, directly altering the obligation of private employers to provide or pay penalties related to employer-sponsored group health coverage.",1,enforcement,healthcare,"The bill modifies the ACA employer mandate by changing the definition of full-time employee from 30 to 40 hours per week, affecting private employer obligations to provide health coverage.",1,enforcement,healthcare,"Amends the ACA employer mandate threshold for full-time employee classification from 30 to 40 hours, directly weakening private employer obligations to provide health coverage under ERISA-related provisions."
hr4143-112,To amend the Internal Revenue Code of 1986 to extend the period during which transfers of excess pension assets may be made to retiree health accounts and to provide for the transfer of such assets to retiree group term life insurance accounts.,Extension of Section 420 and Retiree Life Insurance Act of 2012,Taxation,"Employee benefits and pensions|Income tax exclusion|Life, casualty, property insurance",1.0,enforcement,pension,"The bill amends the Internal Revenue Code to regulate the transfer of excess assets from private employer defined benefit pension plans to retiree health and life insurance accounts, directly impacting private employer obligations regarding pension plan management and asset allocation under ERISA.",1,enforcement,pension,"Extends and expands provisions allowing transfers of excess pension assets to retiree health and life insurance accounts, affecting private employer obligations under ERISA Title I.",,,,"Bill modifies optional tax treatment of pension asset transfers to retiree benefit accounts without imposing new mandatory employer obligations regarding plan funding, fiduciary duties, or participant protections."
hr4598-114,"To amend the Immigration and Nationality Act to improve the H-1B visa program, to repeal the diversity visa lottery program, and for other purposes.",American Jobs First Act of 2016,Immigration,Administrative remedies|Civil actions and liability|Department of Labor|Employment and training programs|Foreign labor|Government information and archives|Higher education|Judicial review and appeals|Labor-management relations|Unemployment|Visas and passports|Wages and earnings,1.0,enforcement,wage_hour,"The bill imposes direct wage obligations on private employers sponsoring H-1B visas by mandating they pay the greater of the prevailing wage or $110,000, and establishes enforcement mechanisms for violations of these wage and employment conditions.",1,enforcement,wage_hour,"The bill imposes wage requirements on employers hiring H-1B nonimmigrants, directly regulating private employer wage obligations.",1,enforcement,wage_hour,"Imposes mandatory minimum wage requirements ($110,000 or higher) on private employers hiring H-1B workers and prohibits displacement of U.S. workers, directly regulating private employer wage and employment practices under immigration law."
s893-115,"A bill to repeal the current Internal Revenue Code and replace it with a flat tax, thereby guaranteeing economic growth and fairness for all Americans.","Simplified, Manageable, And Responsible Tax Act",Taxation,Employee benefits and pensions|Income tax credits|Income tax deductions|Income tax exclusion|Income tax rates|Legislative rules and procedure|Tax reform and tax simplification|Transfer and inheritance taxes,1.0,enforcement,pension,"The bill repeals ERISA rules relating to non-discrimination, contribution limits, and restrictions on distributions for private employer pension plans, directly altering the mandatory conduct obligations of employers as plan sponsors.",,,,"The bill primarily focuses on tax reform and simplification, including changes to income tax rates and deductions, and does not directly impose new obligations on private employers regarding wage, hour, or benefit obligations.",,,,"This comprehensive tax reform bill restructures the entire tax code with a flat rate system and repeals numerous provisions, but it does not impose new wage, hour, or benefit obligations on private employers; the pension rule changes eliminate restrictions rather than create employer conduct obligations, and the repeal of tax credits removes incentives rather than regulating employer misconduct."
s974-112,A bill to amend the Internal Revenue Code of 1986 to expand the tip tax credit to employers of cosmetologists and to promote tax compliance in the cosmetology sector.,Small Business Tax Equalization and Compliance Act of 2011,Taxation,"Employment taxes|Income tax credits|Self-employed|Small business|Tax administration and collection, taxpayers|Wages and earnings",1.0,tax_credit_introduction,wage_hour,"The bill extends the tip tax credit to employers of cosmetologists and imposes reporting requirements for tips, directly regulating private employer obligations regarding wage and tip compliance.",,,,"The bill extends a tax credit for social security taxes paid on employee tips to employers of cosmetologists, which is a tax policy measure rather than a regulation of employer wage or benefit obligations.",1,tax_credit_introduction,wage_hour,"Extends an existing tax credit for employer-paid social security taxes on employee tips to a new industry (cosmetology), incentivizing compliance with tip-related wage obligations under the FLSA."
hr1397-113,"To create jobs and reinvest in communities through the rehabilitation of abandoned and foreclosed residential and commercial properties, and for other purposes.",Project Rebuild Act of 2013,Housing and Community Development,Appropriations|Buy American requirements|Employee hiring|Fraud offenses and financial crimes|Housing and community development funding|Housing finance and home ownership|Housing supply and affordability|Labor standards|Low- and moderate-income housing|Property rights|Public contracts and procurement|Residential rehabilitation and home repair|Rural conditions and development|Urban and suburban affairs and development|Wages and earnings,1.0,enforcement,wage_hour,"The bill requires private contractors and subcontractors on federally-assisted projects to pay wages at locally prevailing rates under the Davis-Bacon Act, directly imposing wage obligations on non-governmental employers.",1,enforcement,wage_hour,"The bill imposes prevailing wage requirements on private contractors and subcontractors working on federally-assisted projects, directly affecting private employer wage obligations under the Davis-Bacon Act.",1,enforcement,wage_hour,"Imposes Davis-Bacon Act prevailing wage requirements on private contractors and subcontractors working on federally-assisted property rehabilitation projects, directly regulating private employer wage obligations."
hr515-113,To amend the Family and Medical Leave Act of 1993 to provide leave because of the death of a son or daughter.,Parental Bereavement Act of 2013,Labor and Employment,"Employee leave|Family relationships|Government employee pay, benefits, personnel management|Teaching, teachers, curricula",1.0,enforcement,wage_hour,"Amends the Family and Medical Leave Act (FMLA) to expand leave entitlements for private sector employees, directly regulating employer obligations regarding protected family leave.",1,enforcement,wage_hour,"Amends the FMLA to include bereavement leave for the death of a child, expanding private employer obligations under FMLA leave provisions.",1,enforcement,wage_hour,"Amends the FMLA to create a new protected leave entitlement for private employers when an employee experiences the death of a son or daughter, directly expanding employer leave obligations under federal wage and hour law."
