bill_id,official_title,short_title,policy_area,subjects,category_step1,reason_step1,category_4o,bill_type_4o,bill_category_4o,reason_4o,category_sonnet,bill_type_sonnet,bill_category_sonnet,reason_sonnet,category_opus,bill_type_opus,bill_category_opus,reason_opus
s792-115,"A bill to amend the Immigration and Nationality Act to establish an H-2B temporary non-agricultural work visa program, and for other purposes.",Save Our Small and Seasonal Businesses Act of 2017,Immigration,Administrative remedies|Congressional oversight|Department of Homeland Security|Foreign labor|Government information and archives|Government studies and investigations|Immigration status and procedures|Temporary and part-time employment|Visas and passports,1.0,"The bill establishes specific wage requirements and worker protections for private employers utilizing H-2B temporary non-agricultural workers, directly regulating employer obligations regarding compensation and labor standards.",,,,"The bill primarily addresses immigration procedures and requirements for H-2B visas, not private employer wage, hour, or benefit obligations.",,,,"This bill's primary subject is immigration law and the H-2B temporary visa program; while it includes provisions about wages and working conditions for H-2B workers, these are conditions of the visa program rather than general private employer wage obligations, and the bill does not primarily regulate private employer wage, hour, or benefit conduct under statutes like FLSA or ERISA.",1,enforcement,wage_hour,"The bill establishes detailed requirements for private H-2B employers regarding wages, U.S. worker protections, recruitment, housing, and transportation obligations, directly imposing wage and labor obligations on private employers who hire temporary nonagricultural workers."
hr4777-111,To amend the Internal Revenue Code of 1986 to provide an exemption for employer payroll taxes during 2010 for wages with respect to the employment of new hires and to provide a credit for retaining employees.,,Taxation,"Employment taxes|Government trust funds|Income tax credits|Social security and elderly assistance|Social work, volunteer service, charitable organizations|Unemployment|Wages and earnings",1.0,"The bill provides tax incentives for private employers to hire and retain workers at specified wage levels, directly influencing employer wage obligations and employment practices.",,,,"The bill primarily offers tax exemptions and credits for hiring and retaining employees, which are general tax incentives rather than direct regulations on private employer wage, hour, or benefit obligations.",,,,"This bill provides tax credits for hiring and retaining workers, which incentivizes general hiring decisions rather than regulating private employer wage, hour, or benefit compliance obligations.",,,,"This bill provides a payroll tax exemption and a tax credit for hiring and retaining new employees; these are general hiring incentives (tax credits for hiring workers from specific groups like the unemployed), not regulations imposing wage, hour, or benefit obligations on private employers."
hr1907-113,"To amend the Public Health Service Act to establish direct care registered nurse-to-patient staffing ratio requirements in hospitals, and for other purposes.",Nurse Staffing Standards for Patient Safety and Quality Care Act of 2013,Health,Administrative law and regulatory procedures|Administrative remedies|Civil actions and liability|Department of Health and Human Services|Employment discrimination and employee rights|Government information and archives|Government studies and investigations|Health care quality|Health facilities and institutions|Health personnel|Health programs administration and funding|Hospital care|Medicaid|Medical education|Medicare|Military medicine|Nursing|Student aid and college costs|Veterans' medical care,1.0,"The bill prohibits hospitals (private employers) from retaliating against nurses for refusing assignments that violate staffing ratios or for filing good faith complaints regarding care conditions, which constitutes a whistleblower protection mechanism related to employment rights and working conditions.",,,,"The bill primarily addresses nurse staffing ratios in hospitals, which is a healthcare quality and patient safety issue, not a private employer wage, hour, or benefit obligation.",,,,"This bill primarily regulates hospital staffing ratios and patient safety standards, not private employer wage, hour, or benefit obligations; the nurse assignment protections address workplace safety conditions rather than compensation or benefits.",,,,"This bill amends the Public Health Service Act to impose nurse-to-patient staffing ratios in hospitals as a patient safety and healthcare quality measure; while it includes employee anti-retaliation protections, its central purpose is regulating hospital staffing levels for patient care quality rather than imposing private employer wage, hour, or benefit obligations."
s273-113,A bill to modify the definition of fiduciary under the Employee Retirement Income Security Act of 1974 to exclude appraisers of employee stock ownership plans.,,Labor and Employment,Accounting and auditing|Employee benefits and pensions|Securities,1.0,"The bill amends ERISA to modify fiduciary definitions for employee stock ownership plans, directly addressing employer obligations regarding retirement benefit plans.",,,,"The bill modifies the definition of fiduciary under ERISA to exclude appraisers of ESOPs, which does not impose new mandatory obligations on private employers as plan sponsors.",1,enforcement,pension,"Amends ERISA to narrow the definition of fiduciary for employee stock ownership plans, thereby weakening private employer fiduciary obligations under pension law.",1,enforcement,pension,"The bill amends ERISA to exclude ESOP appraisers from fiduciary status, directly weakening the fiduciary obligations imposed on parties involved in private employer-sponsored retirement plans."
hr2234-112,To amend the Fair Labor Standards Act of 1938 to strengthen the provisions relating to child labor.,CARE Act of 2011,Labor and Employment,"Administrative law and regulatory procedures|Crimes against children|Department of Labor|Hazardous wastes and toxic substances|Labor standards|Migrant, seasonal, agricultural labor|Worker safety and health|Youth employment and child labor",1.0,"The bill amends the Fair Labor Standards Act to strengthen child labor prohibitions and penalties, which directly regulates private employer obligations regarding the employment of minors under the Wage Hour & Benefits category.",1,enforcement,wage_hour,"The bill strengthens child labor provisions under the Fair Labor Standards Act, directly affecting private employer wage and hour obligations.",1,enforcement,wage_hour,"Strengthens child labor prohibitions under the FLSA by expanding hazardous occupation restrictions, narrowing agricultural exemptions, increasing penalties, and prohibiting pesticide handling for minors, directly tightening private employer wage and hour obligations.",1,enforcement,wage_hour,"This bill amends the Fair Labor Standards Act to strengthen child labor protections by redefining oppressive child labor, tightening exemptions for agricultural employment of minors, eliminating waivers, and increasing penalties for violations — all directly tightening private employer obligations under the FLSA."
hr2782-116,To amend the Internal Revenue Code of 1986 to repeal the 30-hour threshold for classification as a full-time employee for purposes of the employer mandate in the Patient Protection and Affordable Care Act and replace it with 40 hours.,Employee Flexibility Act of 2019,Taxation,Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes,1.0,"The bill modifies the definition of full-time employment for the ACA employer mandate, directly altering the threshold at which private employers are required to provide health benefits to their employees.",1,enforcement,healthcare,"The bill modifies the ACA employer mandate by changing the full-time employee classification threshold, directly affecting private employer obligations to provide health coverage.",1,enforcement,healthcare,"This bill modifies the ACA employer mandate's definition of full-time employee, directly changing the threshold at which private employers must provide health coverage, thereby weakening employer healthcare benefit obligations.",1,enforcement,healthcare,"This bill directly modifies the ACA employer mandate threshold for when private employers must provide health coverage to full-time employees, changing the definition from 30 to 40 hours per week, which loosens private employer obligations to provide group health benefits."
hr4143-112,To amend the Internal Revenue Code of 1986 to extend the period during which transfers of excess pension assets may be made to retiree health accounts and to provide for the transfer of such assets to retiree group term life insurance accounts.,Extension of Section 420 and Retiree Life Insurance Act of 2012,Taxation,"Employee benefits and pensions|Income tax exclusion|Life, casualty, property insurance",1.0,"The bill regulates the transfer of excess pension assets to fund retiree health and life insurance benefits, directly addressing employer obligations regarding employee benefit plans under ERISA.",,,,"The bill primarily concerns tax treatment of pension asset transfers, not new mandatory obligations on private employers regarding wage, hour, or benefit compliance.",,,,"This bill modifies optional tax treatment rules allowing employers to transfer excess pension assets to retiree health or life insurance accounts, but does not impose new mandatory obligations on private employers regarding pension funding, plan administration, or benefit provision.",1,enforcement,pension,"This bill amends IRC Section 420 to extend and expand the authority for private employers to transfer excess defined benefit pension plan assets to retiree health and life insurance accounts, directly governing how private employer pension plan sponsors may use plan assets — a core ERISA/pension obligation matter affecting the management of employer-sponsored retirement plan funds."
hr4598-114,"To amend the Immigration and Nationality Act to improve the H-1B visa program, to repeal the diversity visa lottery program, and for other purposes.",American Jobs First Act of 2016,Immigration,Administrative remedies|Civil actions and liability|Department of Labor|Employment and training programs|Foreign labor|Government information and archives|Higher education|Judicial review and appeals|Labor-management relations|Unemployment|Visas and passports|Wages and earnings,1.0,"The bill imposes specific wage obligations on private employers sponsoring H-1B visas, requiring them to pay the greater of the prevailing wage or $110,000, which directly regulates employer wage practices for a specific class of workers.",1,enforcement,wage_hour,"The bill imposes wage obligations on private employers hiring H-1B visa holders, directly regulating employer wage conduct.",,,,"Although the bill establishes minimum wage requirements and employment conditions, these obligations apply exclusively to employers of H-1B visa holders as part of immigration program regulation, not to general private employer wage and hour obligations; the bill's primary subject is immigration policy, not employer wage/hour compliance.",1,enforcement,wage_hour,"The bill directly imposes wage obligations on private employers petitioning for H-1B workers (requiring minimum annual wages of $110,000 or the wage paid to comparable U.S. workers), prohibits employers from displacing U.S. workers, restricts non-compete/nondisparagement agreements tied to H-1B misuse, and strengthens Department of Labor enforcement and complaint processes — all of which are central private employer wage and employment obligations."
s893-115,"A bill to repeal the current Internal Revenue Code and replace it with a flat tax, thereby guaranteeing economic growth and fairness for all Americans.","Simplified, Manageable, And Responsible Tax Act",Taxation,Employee benefits and pensions|Income tax credits|Income tax deductions|Income tax exclusion|Income tax rates|Legislative rules and procedure|Tax reform and tax simplification|Transfer and inheritance taxes,1.0,"The bill directly regulates private employer obligations regarding employee benefits by imposing a tax on excludable compensation and repealing non-discrimination and contribution limit rules for pension plans, thereby affecting how employers manage and fund retirement benefits.",,,,"The bill primarily concerns tax reform and simplification, including changes to income tax rates and deductions, and does not directly impose new obligations on private employers regarding wages, hours, or benefits.",,,,"This is a comprehensive tax reform bill that repeals the entire Internal Revenue Code and replaces it with a flat tax system; while it mentions employee benefits and pensions, its primary subject is fundamental tax policy restructuring, not the imposition of specific wage, hour, or benefit obligations on private employers.",1,enforcement,pension,"The bill repeals pension non-discrimination rules, contribution limits, and restrictions on distributions that currently impose mandatory obligations on private employers as plan sponsors under ERISA/IRC, thereby directly weakening private employer pension obligations."
s974-112,A bill to amend the Internal Revenue Code of 1986 to expand the tip tax credit to employers of cosmetologists and to promote tax compliance in the cosmetology sector.,Small Business Tax Equalization and Compliance Act of 2011,Taxation,"Employment taxes|Income tax credits|Self-employed|Small business|Tax administration and collection, taxpayers|Wages and earnings",1.0,"The bill regulates private employer obligations regarding the reporting of employee tips and wages in the cosmetology sector, directly addressing wage compliance and tax administration related to employee earnings.",,,,"The bill primarily introduces a tax credit for employers of cosmetologists and imposes reporting requirements, which are related to tax compliance rather than directly regulating private employer wage, hour, or benefit obligations.",1,tax_credit_introduction,wage_hour,"The bill extends an existing employer tax credit (for social security taxes on employee cash tips) to a new industry sector (cosmetology employers), which constitutes introducing tax credit eligibility that incentivizes compliance with tip-related wage obligations.",,,,"This bill extends an existing tax credit (the FICA tip credit) to a new employer category and imposes tax reporting/compliance requirements; it is a tax benefit and tax administration measure, not a bill whose central purpose is regulating private employer wage, hour, or benefit obligations."
