bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,gpt_categories,gpt_bill_type,gpt_reason
s1654-113,113,2013-11-05,Taxation,"Business expenses|Civil actions and liability|Commodities markets|Criminal investigation, prosecution, interrogation|Income tax deductions|Securities|Tax administration and collection, taxpayers",A bill to amend the Internal Revenue Code of 1986 to deny tax deductions for corporate regulatory violations.,Government Settlement Transparency and Reform Act,,,"The bill addresses tax deductions for corporate regulatory violations, not private employer wage or benefit obligations."
hr2274-108,108,2003-05-22,Commemorations,Commemorations|Congressional tributes|Courthouses|Judges|Names|New Mexico,"To designate the United States courthouse at South Federal Place in Santa Fe, New Mexico, as the ""Santiago E. Campos United States Courthouse"".",,,,The bill is a commemorative designation of a courthouse and does not involve private employer wage or benefit obligations.
s471-115,115,2017-02-28,Transportation and Public Works,Aviation and airports|Emergency medical services and trauma care|Federal preemption|State and local government operations|Transportation costs,A bill to preserve State authority to regulate air carriers providing air ambulance service.,Isla Rose Life Flight Act,,,"The bill addresses state authority over air ambulance services, not private employer wage or benefit obligations."
s675-109,109,2005-03-17,Housing and Community Development,Agricultural cooperatives|Agricultural credit|Bank accounts|Capital gains tax|Capital investments|Catastrophic health insurance|College costs|Construction costs|Consumer cooperatives|Cost of living adjustments|County politics and government|Depreciation and amortization|Earned income tax credit|Electrification|Entrepreneurs|Excise tax|Federal aid to education|Federally-guaranteed loans|Government paperwork|Higher education|Home ownership|Housing finance|Income tax|Indexing (Economic policy)|Infrastructure|Infrastructure (Economics)|Internal migration|Investment tax credit|Job creation|Medical economics|Minimum tax|Nonprofit organizations|Residence requirements|Rural economic development|Rural education|Rural housing|Saving and investment|Savings and loan associations|Scholarships|Securities|Small business|Small towns|Student loan funds|Tax credits|Tax deductions|Tax exclusion|Tax exemption|Tax penalties|Tax returns|Tax-exempt organizations|Trusts and trustees|Urban affairs|Venture capital|Vocational and technical education,"A bill to reward the hard work and risk of individuals who choose to live in and help preserve America's small, rural towns, and for other purposes.",New Homestead Act of 2005,,,"The bill primarily focuses on tax incentives and financial support for rural development, home ownership, and business investment, without addressing private employer wage or benefit obligations."
hr4311-114,114,2015-12-18,Taxation,Administrative law and regulatory procedures|Charitable contributions|Department of the Treasury|Income tax deductions|Internal Revenue Service (IRS),To prohibit the Internal Revenue Service from modifying or amending the standards and regulations governing the substantiation of charitable contributions.,Protecting Charitable Contributions Act of 2015,,,"The bill addresses IRS regulations on charitable contribution deductions, not private employer wage or benefit obligations."
hr433-108,108,2003-01-28,Taxation,Employee stock options|Income tax|Losses|Minimum tax|Tax credits,To amend the Internal Revenue Code of 1986 to allow a minimum credit against the alternative minimum tax where stock acquired pursuant to an incentive stock option is sold or exchanged at a loss.,,,,"The bill addresses tax treatment of stock options and alternative minimum tax, not private employer wage or benefit obligations."
hr3203-109,109,2005-07-11,Education,Education of the disadvantaged|Federal aid to education|Higher education|Hispanic Americans|Minorities|Minority education,To amend the Higher Education Act of 1965 to expand and extend the eligibility of Hispanic-serving institutions for assistance under title V of that Act.,Hispanic-Serving Institution Assistance Improvement Act of 2005,,,"The bill focuses on expanding federal aid to Hispanic-serving educational institutions, not on private employer wage or benefit obligations."
hr6006-110,110,2008-05-08,Armed Forces and National Security,Construction costs|Endangered species|Habitat conservation|Land banking|Military construction operations|Military operations|Military readiness|Military research|Military training|Nature conservation,"To amend title 10, United States Code, to authorize the Secretary of a military department, and the Secretary of Defense with respect to the Defense Agencies, to participate in conservation banking programs and in-lieu-fee mitigation programs.",,,,"The bill pertains to military department participation in conservation banking programs, which does not involve private employer wage or benefit obligations."
s2452-108,108,2004-05-20,Agriculture and Food,Administrative procedure|Agriculture in foreign trade|Consumer education|Department of Agriculture|Dietary supplements|Fines (Penalties)|Grocery trade|Herbs|Imports|Labeling|Medicinal plants|Packaging|Retail trade|Signs and signboards|Wholesale trade,"A bill to require labeling of raw agricultural forms of ginseng, including the country of harvest, and for other purposes.",Ginseng Harvest Labeling Act of 2004,,,The bill focuses on labeling requirements for ginseng and does not address private employer wage or benefit obligations.
hr3033-107,107,2001-10-04,Immigration,Admission of nonimmigrants|Aliens|Authorization|Congressional investigations|Congressional reporting requirements|Data banks|Department of Justice|EBB Terrorism|Elementary and secondary education|Exchange of persons programs|Foreign students|Government paperwork|Higher education|Student records,To amend the Illegal Immigration Reform and Immigrant Responsibility Act of 1996 to authorize the appropriation of funds for the program to collect information relating to nonimmigrant foreign students and to provide for a GAO review of such program.,Foreign Student Database Funding Act of 2001,,,"The bill focuses on funding for a foreign student information collection program, which does not involve private employer wage or benefit obligations."
hr330-114,114,2015-01-13,Public Lands and Natural Resources,"Congressional oversight|Environmental assessment, monitoring, research|Intergovernmental relations|Land use and conservation|Marine and coastal resources, fisheries|Monuments and memorials|Parks, recreation areas, trails|Presidents and presidential powers, Vice Presidents|State and local government operations","To amend title 54, United States Code, to provide for congressional approval of national monuments and restrictions on the use of national monuments, to establish requirements for declaration of marine national monuments, and for other purposes.",Marine Access and State Transparency,,,The bill addresses the process for declaring national monuments and does not involve private employer wage or benefit obligations.
hr3923-106,106,2000-03-14,,Private Legislation,For the relief of En Chung Wu.,,,,The bill is private legislation for immigration relief for an individual and does not involve private employer wage or benefit obligations.
hr5072-115,115,2018-02-20,Immigration,Administrative law and regulatory procedures|Africa|Department of Homeland Security|Foreign labor|Immigration status and procedures|Liberia,To provide for the adjustment of status of certain nationals of Liberia to that of lawful permanent residents and for other purposes.,Liberian Refugee Immigration Fairness Act of 2018,,,"The bill addresses immigration status adjustments for Liberian nationals, which does not involve private employer wage or benefit obligations."
s1126-115,115,2017-05-15,Immigration,Border security and unlawful immigration|Detention of persons|Immigration status and procedures|Intergovernmental relations|Law enforcement administration and funding|Public contracts and procurement|Public transit|Roads and highways|State and local government operations|Transportation programs funding,"A bill to prohibit certain Federal funds from being available to sanctuary jurisdictions that refuse to cooperate with the Federal Government on immigration matters or retaliate against border security contractors, and for other purposes.",Securing the Border and Protecting Our Communities Act,,,"The bill addresses federal funding restrictions for sanctuary jurisdictions related to immigration enforcement, not private employer wage or benefit obligations."
hr4713-106,106,2000-06-21,Health,Auditing|Authorization|Coal|Collective bargaining agreements|Congressional investigations|Congressional reporting requirements|Employee health benefits|Fees|Government trust funds|Insurance premiums|Insurance rates|Interest|Labor unions|Pension funds|Reclamation of land|Retiree health benefits|Small business|Strip mining|Trusts and trustees,"To amend the Internal Revenue Code of 1986 and the Surface Mining Control and Reclamation Act of 1977 to restore stability and equity to the financing of the United Mine Workers of America Combined Benefit Fund by eliminating the liability of reachback operators, to provide additional sources of revenue to the Fund, and for other purposes.",Combined Fund Stability and Fairness Act,,,"The bill addresses funding and financial stability for the United Mine Workers of America Combined Benefit Fund, focusing on trust fund solvency and not on private employer wage or benefit obligations."
s2285-109,109,2006-02-14,Government Operations and Politics,Administrative remedies|Appropriations|Civil actions and liability|Confidential communications|Congressional investigations|Congressional reporting requirements|Congressional witnesses|Damages|Disciplining of employees|Dismissal of employees|Evidence (Law)|Federal employees|Federal officials|Fines (Penalties)|Fraud|Government contractors|Governmental investigations|Grievance procedures|Informers|Inspectors general|Intelligence officers|Leave of absence|Legal fees|Members of Congress|Misconduct in office|Murder|Removal of officials|Reprogramming of appropriated funds|Security clearances|Special prosecutors|Victims of crimes|Waste in government spending|Whistle blowing|Witnesses,"A bill to improve the protection of witnesses, victims, and informants.","Whistleblower Empowerment, Security, and Taxpayer Protection Act of 2006",,,"The bill focuses on protections for whistleblowers and government operations, not on private employer wage or benefit obligations."
hr1557-112,112,2011-04-14,Immigration,Administrative remedies|Civil actions and liability|Crime victims|Foreign labor|Immigration status and procedures|Terrorism|Visas and passports,To provide the spouses and children of aliens who perished in the September 11 terrorist attacks an opportunity to adjust their status to that of an alien lawfully admitted for permanent residence.,September 11 Family Humanitarian Relief and Patriotism Act of 2011,,,"The bill addresses immigration status adjustments for families affected by the September 11 attacks, unrelated to private employer wage or benefit obligations."
hr6432-114,114,2016-12-02,Foreign Trade and International Finance,,"To require the Secretary of Labor to monitor the trade deficits between the United States and other countries, and for other purposes.",Trade Deficit Reduction Act,,,"The bill focuses on monitoring trade deficits and developing trade policies, not on private employer wage or benefit obligations."
