bill_id,official_title,short_title,policy_area,subjects,category_g4,bill_type_g4,reason_g4,category_4o,bill_type_4o,reason_4o,category_sonnet,bill_type_sonnet,reason_sonnet
s393-108,"A bill to amend the Internal Revenue Code of 1986 to allow employers a credit against income tax with respect to employees who participate in the military reserve components and to allow a comparable credit for participating reserve component self-employed individuals, and for other purposes.",,Taxation,Armed forces reserves|Income tax|Military pay|Self-employed|Tax credits|Wages,1.0,tax_credit_introduction,"Introduces a tax credit for private employers who maintain employees participating in military reserve components, which incentivizes the retention of workers during protected military leave.",,,"The bill provides a tax credit for employers with employees in the military reserve, which does not directly relate to private employer wage or benefit obligations.",,,"This bill offers a general tax credit to employers for retaining reserve component employees and to self-employed reservists, which incentivizes hiring/retention decisions rather than addressing private employer wage, hour, or benefit obligations."
s1193-115,"A bill to amend the Internal Revenue Code of 1986 to provide a credit for employer-provided job training, and for other purposes.",Better Education and Skills Training for America's Workforce Act,Taxation,Business investment and capital|Employment and training programs|Higher education|Income tax credits|Student aid and college costs,1.0,tax_credit_introduction,"The bill introduces tax credits for private employers who provide job training to trainees, which is explicitly listed as a qualifying credit tied to employer-provided job training.",1,tax_credit_introduction,"Introduces a new tax credit for employer-provided job training programs, incentivizing private employers to invest in workforce development.",1,tax_credit_introduction,"Introduces new tax credits for employer-provided job training expenses and investments in job training partnerships, incentivizing private employers to offer training programs that relate to employee skill development and workforce benefits."
s1204-107,A bill to amend title XVIII of the Social Security Act to provide adequate coverage for immunosuppressive drugs furnished to beneficiaries under the medicare program that have received an organ transplant.,Comprehensive Immunosuppressive Drug Coverage for Transplant Patients Act of 2001,Health,"Coinsurance|Employee health benefits|Health insurance|Hospital care|Immunosuppressive drugs|Insurance premiums|Kidney diseases|Medicare|Transplantation of organs, tissues, etc.",1.0,enforcement,"The bill amends ERISA and the Internal Revenue Code to mandate that private group health plans provide coverage for immunosuppressive drugs, thereby expanding employer benefit obligations.",,,"The bill addresses Medicare coverage for immunosuppressive drugs and group health plan requirements, not private employer wage or benefit obligations.",,,"Bill primarily adjusts Medicare coverage and group health plan requirements for immunosuppressive drugs, addressing government insurance program rules and health plan design rather than private employer wage, hour, or benefit obligations."
s273-113,A bill to modify the definition of fiduciary under the Employee Retirement Income Security Act of 1974 to exclude appraisers of employee stock ownership plans.,,Labor and Employment,Accounting and auditing|Employee benefits and pensions|Securities,1.0,enforcement,"The bill modifies the definition of a fiduciary under ERISA, which directly affects the legal standards and enforcement of private employer retirement benefit obligations.",1,enforcement,"Modifies ERISA by excluding ESOP appraisers from fiduciary status, affecting private employer obligations related to employee benefit plan management.",1,enforcement,"Modifies ERISA fiduciary definitions to exclude ESOP appraisers, directly weakening private employer obligations under employee benefit plan regulations."
s545-108,A bill to amend title I of the Employee Retirement Income Security Act of 1974 to improve access and choice for entrepreneurs with small businesses with respect to medical care for their employees.,Small Business Health Fairness Act of 2003,Health,Administrative fees|Administrative procedure|Bankruptcy|Collective bargaining|Congressional reporting requirements|Delegation of powers|Department of Labor|Discrimination in insurance|Discrimination in medical care|Employee health benefits|Federal advisory bodies|Federal preemption|Federal-state relations|Fines (Penalties)|Flexible benefit plans|Franchises (Retail trade)|Government paperwork|Government trust funds|Health care fraud|Health insurance|Injunctions|Insurance|Insurance agents|Insurance premiums|Labor contracts|Labor unions|Licenses|Medical economics|Medically uninsured|Professional associations|Small business|Standards|State laws|State taxation|Surety and fidelity|Tax rates|Trade associations|Trusts and trustees|Valuation,1.0,enforcement,"The bill amends ERISA to establish rules, solvency requirements, and enforcement mechanisms for association health plans, directly regulating private employer benefit obligations.",,,"The bill primarily addresses health insurance access and choice for small businesses under ERISA, not private employer wage or benefit obligations related to misconduct.",1,enforcement,"Amends ERISA to establish new regulatory requirements for association health plans, directly affecting private employers' obligations regarding employee health benefit plan management, solvency, and fiduciary duties."
hr5207-111,"To amend the Internal Revenue Code of 1986 to improve the operation of employee stock ownership plans, and for other purposes.",Employee Stock Ownership Plan Promotion and Improvement Act of 2010,Taxation,"Employee benefits and pensions|Financial services and investments|Government lending and loan guarantees|Income tax deductions|Income tax exclusion|Income tax rates|Interest, dividends, interest rates|Securities|Small business",1.0,enforcement,"The bill modifies the operation and rules of Employee Stock Ownership Plans (ESOPs), which are retirement benefit plans governed by ERISA and the Internal Revenue Code, thereby affecting private employer benefit obligations.",,,"The bill primarily addresses tax treatment and incentives related to employee stock ownership plans (ESOPs), not private employer wage, hour, or benefit obligations.",1,tax_credit_introduction,"The bill introduces multiple new tax benefits (exemptions from penalty taxes, AMT adjustments, gain deferral, and modified ownership rules) that incentivize private employers to establish or maintain employee stock ownership plans, which are employer-provided retirement benefit arrangements covered under ERISA."
hr2831-109,To amend title I of the Employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 to make improvements in benefit accrual standards.,Pension Preservation and Portability Act of 2005,Labor and Employment,"Age discrimination|Civil service retirement|Cost of living adjustments|Defined benefit pension plans|Early retirement|Indexing (Economic policy)|Interest rates|Old age, survivors and disability insurance|Railroad retirement plans",1.0,enforcement,"The bill amends ERISA to strengthen benefit accrual standards and prevent age discrimination in defined benefit pension plans, directly regulating private employer retirement benefit obligations.",1,enforcement,"The bill amends ERISA to enforce nondiscrimination in defined benefit pension plans, directly affecting private employer obligations regarding employee retirement benefits.",1,enforcement,"The bill strengthens ERISA requirements by prohibiting age-based reductions in pension accruals and addressing discriminatory practices in defined benefit plans, directly regulating private employer pension obligations."
hr4931-107,To provide that the pension and individual retirement arrangement provisions of the Economic Growth and Tax Relief Reconciliation Act of 2001 shall be permanent.,Retirement Savings Security Act of 2002,Labor and Employment,Accidents|Accounting|Aliens|Annuities|Business income tax|Churches|Civil Service pensions|Defined benefit pension plans|Defined contribution plans|Disasters|Dividends|Divorce|Divorcees|Employee ownership|Excise tax|Executive compensation|Executives|Financial planning|Fringe benefits|Government paperwork|Government publicity|Household workers|Income tax|Individual retirement accounts|Life expectancy|Loans|Local employees|Merchant seamen|Pension funds|Pension portability|Personal income tax|Profit sharing|Religion|Small business|State employees|Stockholders|Sunset legislation|Tax administration|Tax credits|Tax deductions|Tax exclusion|Tax penalties|Tax-deferred compensation plans|Tax-exempt organizations|Trusts and trustees|User charges|Valuation|Women|Women's retirement,1.0,enforcement,"By making permanent the pension and individual retirement provisions of the Economic Growth and Tax Relief Reconciliation Act of 2001, the bill establishes permanent regulatory and tax frameworks governing private employer retirement benefit obligations under ERISA and the tax code.",,,"The bill makes certain pension and retirement provisions permanent, but does not directly regulate or enforce private employer wage, hour, or benefit obligations.",,,"This bill makes permanent certain tax provisions related to retirement savings accounts and pension plans but does not regulate private employer wage, hour, or benefit obligations or introduce employer-specific tax credits tied to such conduct; it primarily addresses tax treatment of retirement savings vehicles rather than employer misconduct under ERISA or similar statutes."
hr2378-108,"To reform the safety practices of the railroad industry, to prevent railroad fatalities, injuries, and hazardous materials releases, and for other purposes.",Railroad Safety Reform Act of 2003,Transportation and Public Works,Administrative fees|Administrative procedure|Administrative remedies|Alcoholism|Auditing|Automation|Business records|Civil actions and liability|Conferences|Conflict of interests|Congressional reporting requirements|Contractors|Criminal justice information|Data banks|Delegation of powers|Department of Transportation|Disciplining of employees|Discrimination in employment|Dismissal of employees|Driver licenses|Drug abuse|Drug abuse treatment|Drunk driving|Electronic data interchange|Emergency communication systems|Employee health benefits|Employee rights|Employee training|Employment tests|Evidence (Law)|Federal advisory bodies|Federal aid to transportation|Federal employees|Federal preemption|Federal-local relations|Federal-state relations|Fines (Penalties)|Fuel storage|Government ethics|Government lending|Government paperwork|Governmental investigations|Grievance procedures|Health surveys|Highspeed ground transportation|Hours of labor|Indexing (Economic policy)|Industrial relations|Labor unions|Leave of absence|Legislation|Licenses|Maintenance and repair|Medical screening|Medical tests|Motor vehicle safety|Noise|Obstruction of justice|Occupational health and safety|Personnel records|Physical examinations|Prosecution|Punitive damages|Radio|Railroad commuting traffic|Railroad employees,1.0,enforcement,"The bill revises hours of duty limitations and prohibits railroad carriers from discriminating or retaliating against employees for reporting safety conditions, directly regulating private employer hour and labor conduct.",,,"The bill focuses on railroad safety practices and employee protection within the railroad industry, but does not address private employer wage, hour, or benefit obligations as defined by the Violation Tracker category.",1,enforcement,"The bill directly regulates private railroad carrier obligations regarding employee hours of duty, sleeping quarters, fatigue management plans, and prohibits retaliation against employees for reporting safety violations, thereby tightening employer wage-hour and workplace protection requirements under federal law."
s2284-106,A bill to amend the Fair Labor Standards Act of 1938 to provide for an increase in the Federal minimum wage.,Minimum Wage Increase Act of 2000,Labor and Employment,Minimum wages|Northern Mariana Islands|Territories (U.S.),1.0,enforcement,"The bill increases the Federal minimum wage under the Fair Labor Standards Act, directly increasing the stringency of wage obligations for non-governmental employers.",1,enforcement,"Increases the Federal minimum wage under the FLSA, directly affecting private employer wage obligations.",1,enforcement,"The bill directly increases the federal minimum wage under the Fair Labor Standards Act, strengthening private employer wage obligations and enforcement standards."
s2766-111,A bill to provide for the coverage of medically necessary food under Federal health programs and private health insurance.,Medical Foods Equity Act of 2009,Health,Child health|Digestive and metabolic diseases|Food assistance and relief|Health care costs and insurance|Health care coverage and access|Medicare|Nutrition and diet|Poverty and welfare assistance,1.0,enforcement,"The bill amends ERISA and the Public Health Service Act to mandate that private group and individual health insurance plans provide coverage for medically necessary foods, thereby expanding the benefit obligations of private employers and insurers.",,,"The bill addresses health insurance coverage for medically necessary food and related treatments, not private employer wage or benefit obligations.",,,"This bill mandates health insurance coverage for medically necessary foods and supplements under Medicare, Medicaid, CHIP, TRICARE, and private plans; it does not address private employer wage, hour, or benefit obligations such as FLSA, WARN Act, ERISA pension duties, or FMLA protections."
