bill_id,official_title,short_title,policy_area,subjects,category_qwen,bill_type_qwen,bill_category_qwen,reason_qwen,category_4o,bill_type_4o,bill_category_4o,reason_4o,category_sonnet,bill_type_sonnet,bill_category_sonnet,reason_sonnet,category_opus,bill_type_opus,bill_category_opus,reason_opus
s792-115,"A bill to amend the Immigration and Nationality Act to establish an H-2B temporary non-agricultural work visa program, and for other purposes.",Save Our Small and Seasonal Businesses Act of 2017,Immigration,Administrative remedies|Congressional oversight|Department of Homeland Security|Foreign labor|Government information and archives|Government studies and investigations|Immigration status and procedures|Temporary and part-time employment|Visas and passports,1.0,enforcement,wage_hour,"The bill establishes specific wage, housing, and recruitment obligations for private employers utilizing H-2B temporary non-agricultural workers, directly regulating private employer conduct regarding worker compensation and conditions.",,,,"The bill primarily addresses immigration procedures and the H-2B visa program, not private employer wage or benefit obligations.",,,,"Bill establishes visa program requirements for H-2B temporary foreign workers, regulating immigration procedures and employer petition processes rather than addressing private employer wage, hour, or benefit violations under FLSA, ERISA, FMLA, or WARN Act.",1,enforcement,wage_hour,"The bill establishes wage requirements, U.S. worker protections, and recruitment obligations for private employers using the H-2B temporary nonagricultural worker visa program, directly regulating private employer wage and labor obligations regarding foreign and domestic workers."
s273-113,A bill to modify the definition of fiduciary under the Employee Retirement Income Security Act of 1974 to exclude appraisers of employee stock ownership plans.,,Labor and Employment,Accounting and auditing|Employee benefits and pensions|Securities,1.0,enforcement,pension,"Amends ERISA to modify the definition of fiduciary for employee stock ownership plans (ESOPs), directly regulating private employer obligations and fiduciary standards regarding retirement benefit plans.",1,enforcement,pension,"Modifies ERISA fiduciary standards by excluding ESOP appraisers from fiduciary status, affecting private employer obligations related to pension plan management.",1,enforcement,pension,"Weakens ERISA fiduciary standards by excluding ESOP appraisers from fiduciary obligations, directly reducing private employer retirement plan compliance requirements.",1,enforcement,pension,"Amends ERISA's fiduciary definition to exclude ESOP appraisers from fiduciary obligations, directly reducing the scope of private employer/plan-related fiduciary duties under ERISA Title I for retirement benefit plans."
hr2234-112,To amend the Fair Labor Standards Act of 1938 to strengthen the provisions relating to child labor.,CARE Act of 2011,Labor and Employment,"Administrative law and regulatory procedures|Crimes against children|Department of Labor|Hazardous wastes and toxic substances|Labor standards|Migrant, seasonal, agricultural labor|Worker safety and health|Youth employment and child labor",1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to strengthen prohibitions on oppressive child labor and increase penalties for violations, directly regulating private employer conduct regarding the employment of minors.",1,enforcement,wage_hour,"The bill strengthens child labor provisions under the FLSA, directly affecting private employer obligations regarding the employment of minors.",1,enforcement,wage_hour,"Strengthens FLSA child labor provisions by expanding hazardous occupation restrictions, eliminating agricultural exemptions, increasing penalties for violations, and prohibiting pesticide-related duties for workers under 18, directly tightening private employer wage and hour obligations.",1,enforcement,wage_hour,"Amends the Fair Labor Standards Act to strengthen child labor prohibitions, revise exemptions for agricultural and other employment of minors, increase civil penalties, and establish criminal penalties for child labor violations — directly tightening private employer wage and hour obligations under the FLSA."
hr2782-116,To amend the Internal Revenue Code of 1986 to repeal the 30-hour threshold for classification as a full-time employee for purposes of the employer mandate in the Patient Protection and Affordable Care Act and replace it with 40 hours.,Employee Flexibility Act of 2019,Taxation,Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes,1.0,enforcement,healthcare,"The bill modifies the definition of full-time employment under the ACA employer mandate, directly altering the threshold at which private employers are obligated to provide health coverage or face penalties, thereby regulating private employer benefit obligations.",1,enforcement,healthcare,"The bill modifies the ACA employer mandate by changing the definition of full-time employee from 30 to 40 hours per week, affecting private employer obligations to provide health coverage.",1,enforcement,healthcare,"Amends the ACA employer mandate threshold from 30 to 40 hours per week, directly weakening private employer obligations to provide health coverage under ERISA-related provisions.",1,enforcement,healthcare,"The bill amends the ACA employer mandate threshold for full-time employee classification from 30 to 40 hours per week, directly altering which employees private employers are obligated to provide minimum essential health coverage to, thereby reducing the scope of employer-sponsored health plan obligations under ERISA/ACA."
hr4143-112,To amend the Internal Revenue Code of 1986 to extend the period during which transfers of excess pension assets may be made to retiree health accounts and to provide for the transfer of such assets to retiree group term life insurance accounts.,Extension of Section 420 and Retiree Life Insurance Act of 2012,Taxation,"Employee benefits and pensions|Income tax exclusion|Life, casualty, property insurance",1.0,enforcement,pension,"The bill amends the Internal Revenue Code to regulate the transfer of excess assets from private employer-defined benefit pension plans to retiree health and life insurance accounts, directly affecting private employer obligations regarding pension plan management and asset allocation.",,,,"The bill primarily addresses tax treatment of pension asset transfers, not imposing new mandatory obligations on private employers regarding wage, hour, or benefit compliance.",,,,Bill modifies optional tax treatment of pension asset transfers to retiree benefit accounts without imposing new mandatory employer obligations under ERISA or other wage/hour statutes.,1,enforcement,pension,"Amends the Internal Revenue Code to extend and expand the authority for private employers to transfer excess defined benefit pension plan assets to retiree health and life insurance accounts under Section 420, directly modifying the rules governing private employer management of pension plan assets and retiree benefit obligations under ERISA-related provisions."
hr4598-114,"To amend the Immigration and Nationality Act to improve the H-1B visa program, to repeal the diversity visa lottery program, and for other purposes.",American Jobs First Act of 2016,Immigration,Administrative remedies|Civil actions and liability|Department of Labor|Employment and training programs|Foreign labor|Government information and archives|Higher education|Judicial review and appeals|Labor-management relations|Unemployment|Visas and passports|Wages and earnings,1.0,enforcement,wage_hour,"The bill imposes direct wage obligations on private employers sponsoring H-1B visas by mandating they pay the greater of the prevailing wage or $110,000, and establishes enforcement mechanisms for violations of these wage and employment conditions.",1,enforcement,wage_hour,"The bill imposes wage requirements on employers hiring H-1B nonimmigrants, directly regulating private employer wage obligations.",1,enforcement,wage_hour,"The bill imposes minimum wage requirements ($110,000 or higher) on private employers hiring H-1B workers and prohibits displacement of U.S. workers, directly regulating private employer wage and hiring conduct under immigration law.",1,enforcement,wage_hour,"The bill imposes new wage floor requirements on private employers hiring H-1B workers (minimum $110,000 or matching prior U.S. worker pay), prohibits displacement of U.S. workers, restricts nondisclosure agreements related to program misuse, and strengthens DOL complaint and enforcement processes — all directly regulating private employer wage and employment obligations."
s974-112,A bill to amend the Internal Revenue Code of 1986 to expand the tip tax credit to employers of cosmetologists and to promote tax compliance in the cosmetology sector.,Small Business Tax Equalization and Compliance Act of 2011,Taxation,"Employment taxes|Income tax credits|Self-employed|Small business|Tax administration and collection, taxpayers|Wages and earnings",1.0,tax_credit_introduction,wage_hour,"The bill extends the tip tax credit to employers of cosmetologists and imposes reporting requirements for tips, directly regulating private employer obligations regarding wage reporting and tax compliance related to tipped wages.",,,,"The bill primarily addresses tax compliance and reporting requirements for employers of cosmetologists, extending a tax credit for social security taxes on tips, which does not directly relate to private employer wage, hour, or benefit obligations.",1,tax_credit_introduction,wage_hour,"Extends an existing tax credit for employer-paid social security taxes on employee tips to a new industry (cosmetology), incentivizing compliance with tip-related wage obligations under the FLSA.",1,tax_credit_introduction,wage_hour,"Extends the existing tip tax credit (FICA credit for employer social security taxes paid on employee cash tips) to employers of cosmetologists, directly incentivizing private employer compliance with tip-related wage obligations and expanding tip reporting requirements."
hr515-113,To amend the Family and Medical Leave Act of 1993 to provide leave because of the death of a son or daughter.,Parental Bereavement Act of 2013,Labor and Employment,"Employee leave|Family relationships|Government employee pay, benefits, personnel management|Teaching, teachers, curricula",1.0,enforcement,wage_hour,"Amends the Family and Medical Leave Act (FMLA) to expand leave entitlements for private sector employees, directly regulating employer obligations regarding protected leave.",1,enforcement,wage_hour,"Amends the FMLA to include bereavement leave for the death of a child, expanding private employer obligations under FMLA leave provisions.",1,enforcement,wage_hour,"Amends the FMLA to create a new protected leave entitlement for private employers when an employee experiences the death of a son or daughter, directly expanding employer leave obligations under federal wage and hour law.",1,enforcement,wage_hour,"Amends the Family and Medical Leave Act to expand protected leave entitlements for private employees to include bereavement leave for the death of a child, directly imposing new leave obligations on private employers."
s1076-115,"A bill to amend the Employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 to modify certain provisions relating to multiemployer pensions, and for other purposes.",Keep Our Pension Promises Act,Labor and Employment,"Art, artists, authorship|Bankruptcy|Employee benefits and pensions|Income tax deferral|Income tax exclusion|Pension Benefit Guaranty Corporation",1.0,enforcement,pension,"The bill amends ERISA to restore anti-cutback provisions and modify partition procedures for multiemployer pension plans, directly imposing obligations on private employers as plan sponsors regarding the maintenance and funding of retirement benefits.",1,enforcement,pension,"The bill strengthens protections for participants in multiemployer pension plans by repealing the elimination of anti-cutback provisions and modifying ERISA procedures, directly impacting private employer obligations as pension plan sponsors.",1,enforcement,pension,"The bill strengthens private employer obligations under ERISA by repealing benefit cutback provisions, modifying partition procedures for multiemployer pension plans, and elevating pension obligations in bankruptcy priority—all directly regulating employer conduct regarding retirement benefit plans.",1,enforcement,pension,"The bill amends ERISA to restore pension anti-cutback provisions protecting multiemployer plan participants from benefit reductions, modifies partition procedures for financially-troubled plans, establishes a legacy fund via the PBGC, and elevates pension obligations to first priority in bankruptcy — all directly strengthening private employer obligations regarding pension and retirement benefit plans."
s4012-111,A bill to improve the employability of older Americans.,Incentives for Older Workers Act,Labor and Employment,Aging|Employee benefits and pensions|Employment and training programs|Employment discrimination and employee rights|Social security and elderly assistance|Wages and earnings,1.0,enforcement,pension,"The bill amends ERISA to prohibit private employers from reducing benefits for employees in defined benefit pension plans who enter phased retirement, directly imposing new mandatory conduct obligations on employers as plan sponsors.",1,enforcement,pension,"Prohibits reduction in benefits for employees under defined benefit pension plans during phased retirement, directly affecting private employer pension obligations under ERISA.",1,tax_credit_introduction,pension,"Bill primarily amends ERISA and IRC pension rules to regulate private employer obligations regarding phased retirement benefits and normal retirement age definitions, and introduces a new Work Opportunity Tax Credit for hiring older workers, making it both an enforcement and tax credit bill with pension provisions as the dominant focus.",1,enforcement,pension,"The bill amends ERISA to impose new obligations on private employers as defined benefit pension plan sponsors by prohibiting benefit reductions for employees in phased retirement, and modifies normal retirement age definitions under defined benefit plans, directly regulating private employer pension plan conduct."
