bill_id,official_title,short_title,policy_area,subjects,category_step1,reason_step1,category_4o,bill_type_4o,bill_category_4o,reason_4o,category_sonnet,bill_type_sonnet,bill_category_sonnet,reason_sonnet,category_opus,bill_type_opus,bill_category_opus,reason_opus
s792-115,"A bill to amend the Immigration and Nationality Act to establish an H-2B temporary non-agricultural work visa program, and for other purposes.",Save Our Small and Seasonal Businesses Act of 2017,Immigration,Administrative remedies|Congressional oversight|Department of Homeland Security|Foreign labor|Government information and archives|Government studies and investigations|Immigration status and procedures|Temporary and part-time employment|Visas and passports,1.0,"The bill establishes specific wage requirements and worker protections for private employers utilizing H-2B temporary non-agricultural workers, directly regulating employer obligations regarding compensation and labor standards.",1,enforcement,wage_hour,"The bill sets specific wage requirements and worker protections for private employers using H-2B workers, directly regulating employer wage and labor standards.",,,,"This bill's primary subject is immigration policy and the H-2B visa program administration; while it includes wage provisions for H-2B workers, these are incidental conditions of the visa program rather than the bill's central purpose of regulating private employer wage, hour, or benefit obligations generally.",1,enforcement,wage_hour,"The bill establishes specific wage, housing, transportation, recruitment, and U.S. worker protection requirements for private employers using H-2B temporary nonagricultural workers, directly imposing wage and hour obligations on private employers as a central purpose of the legislation."
hr4777-111,To amend the Internal Revenue Code of 1986 to provide an exemption for employer payroll taxes during 2010 for wages with respect to the employment of new hires and to provide a credit for retaining employees.,,Taxation,"Employment taxes|Government trust funds|Income tax credits|Social security and elderly assistance|Social work, volunteer service, charitable organizations|Unemployment|Wages and earnings",1.0,"The bill provides tax incentives for private employers to hire and retain workers at specified wage levels, directly influencing employer wage obligations and employment practices.",,,,"The bill provides tax incentives for hiring and retaining employees, which influences employment practices but does not directly impose new wage, hour, or benefit obligations on private employers.",,,,"This bill provides general tax credits for hiring and retaining employees, which incentivize hiring decisions rather than regulate employer wage, hour, or benefit compliance obligations; such general hiring credits are explicitly excluded under the classification rules.",,,,"This bill provides a payroll tax exemption for hiring new employees and a tax credit for retaining them — these are general hiring incentives and tax benefits, not regulations imposing wage, hour, or benefit obligations on private employers. Under the detailed rules, tax credits for hiring workers from specific groups or for general job creation do not qualify."
hr1907-113,"To amend the Public Health Service Act to establish direct care registered nurse-to-patient staffing ratio requirements in hospitals, and for other purposes.",Nurse Staffing Standards for Patient Safety and Quality Care Act of 2013,Health,Administrative law and regulatory procedures|Administrative remedies|Civil actions and liability|Department of Health and Human Services|Employment discrimination and employee rights|Government information and archives|Government studies and investigations|Health care quality|Health facilities and institutions|Health personnel|Health programs administration and funding|Hospital care|Medicaid|Medical education|Medicare|Military medicine|Nursing|Student aid and college costs|Veterans' medical care,1.0,"The bill prohibits hospitals (private employers) from retaliating against nurses for refusing assignments that violate staffing ratios or for filing good faith complaints regarding care conditions, which constitutes a whistleblower protection mechanism related to employment rights and working conditions.",,,,"The bill primarily addresses nurse staffing ratios and patient safety in hospitals, which are healthcare quality and regulatory issues, not private employer wage, hour, or benefit obligations.",,,,"Although the bill includes employment protections for nurses, its primary subject is hospital patient safety and healthcare quality through mandated nurse-to-patient staffing ratios; the employment provisions are incidental to healthcare regulation rather than private employer wage, hour, or benefit obligations.",,,,"This bill's central purpose is establishing nurse-to-patient staffing ratios in hospitals as a patient safety and healthcare quality measure under the Public Health Service Act, not regulating private employer wage, hour, or benefit obligations. The anti-retaliation provisions are incidental to the primary healthcare quality/staffing mandate, and the bill primarily regulates hospital operations and Medicare/Medicaid payment adjustments rather than imposing wage, hour, or benefit obligations on private employers."
s273-113,A bill to modify the definition of fiduciary under the Employee Retirement Income Security Act of 1974 to exclude appraisers of employee stock ownership plans.,,Labor and Employment,Accounting and auditing|Employee benefits and pensions|Securities,1.0,"The bill amends ERISA to modify fiduciary definitions for employee stock ownership plans, directly addressing employer obligations regarding retirement benefit plans.",1,enforcement,pension,"The bill modifies fiduciary definitions under ERISA for employee stock ownership plans, directly affecting private employer obligations related to retirement benefit plans.",1,enforcement,pension,"The bill modifies ERISA fiduciary standards for employee stock ownership plans, directly weakening private employer obligations by exempting ESOP appraisers from fiduciary duties that would otherwise apply to retirement plan administration.",1,enforcement,pension,"The bill amends ERISA to exclude ESOP appraisers from fiduciary status, directly modifying the fiduciary obligations framework governing private employer-sponsored retirement plans under ERISA, effectively weakening enforcement of fiduciary standards for these plans."
hr2234-112,To amend the Fair Labor Standards Act of 1938 to strengthen the provisions relating to child labor.,CARE Act of 2011,Labor and Employment,"Administrative law and regulatory procedures|Crimes against children|Department of Labor|Hazardous wastes and toxic substances|Labor standards|Migrant, seasonal, agricultural labor|Worker safety and health|Youth employment and child labor",1.0,"The bill amends the Fair Labor Standards Act to strengthen child labor prohibitions and penalties, which directly regulates private employer obligations regarding the employment of minors under the Wage Hour & Benefits category.",1,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to strengthen child labor prohibitions and penalties, directly regulating private employer obligations regarding the employment of minors under the Wage Hour & Benefits category.",1,enforcement,wage_hour,"The bill strengthens FLSA child labor prohibitions by narrowing exemptions, expanding hazardous occupation restrictions, and increasing penalties for violations, directly tightening private employer wage and hour obligations regarding youth employment.",1,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to strengthen child labor prohibitions, revise exemptions, increase civil penalties, and establish criminal penalties for violations, directly tightening private employer obligations regarding the employment of minors."
hr2782-116,To amend the Internal Revenue Code of 1986 to repeal the 30-hour threshold for classification as a full-time employee for purposes of the employer mandate in the Patient Protection and Affordable Care Act and replace it with 40 hours.,Employee Flexibility Act of 2019,Taxation,Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes,1.0,"The bill modifies the definition of full-time employment for the ACA employer mandate, directly altering the threshold at which private employers are required to provide health benefits to their employees.",1,enforcement,healthcare,"The bill modifies the ACA employer mandate by changing the full-time employee threshold, directly affecting private employer obligations to provide health benefits.",1,enforcement,healthcare,"The bill modifies the ACA employer mandate's full-time employee threshold from 30 to 40 hours per week, directly weakening private employer obligations to provide health benefits and thus constitutes enforcement-related regulation of employer-sponsored healthcare obligations.",1,enforcement,healthcare,"The bill directly modifies the ACA employer mandate threshold, changing which employees private employers are obligated to provide minimum essential health coverage to, thereby loosening private employer healthcare benefit obligations by raising the full-time classification from 30 to 40 hours per week."
hr4143-112,To amend the Internal Revenue Code of 1986 to extend the period during which transfers of excess pension assets may be made to retiree health accounts and to provide for the transfer of such assets to retiree group term life insurance accounts.,Extension of Section 420 and Retiree Life Insurance Act of 2012,Taxation,"Employee benefits and pensions|Income tax exclusion|Life, casualty, property insurance",1.0,"The bill regulates the transfer of excess pension assets to fund retiree health and life insurance benefits, directly addressing employer obligations regarding employee benefit plans under ERISA.",,,,The bill primarily concerns tax treatment of pension asset transfers and does not impose new mandatory obligations on private employers regarding employee benefit plans under ERISA.,,,,"This bill modifies the tax treatment of optional pension asset transfers to fund retiree benefits, but does not impose new mandatory obligations on private employers as plan sponsors; it merely adjusts the tax code rules governing voluntary plan transactions.",1,enforcement,pension,"The bill amends IRC Section 420 to extend and expand the authority for transfers of excess pension assets from defined benefit plans to retiree health and life insurance accounts, directly governing how private employers as plan sponsors manage pension plan assets and retiree benefit obligations under ERISA-related tax rules."
hr4598-114,"To amend the Immigration and Nationality Act to improve the H-1B visa program, to repeal the diversity visa lottery program, and for other purposes.",American Jobs First Act of 2016,Immigration,Administrative remedies|Civil actions and liability|Department of Labor|Employment and training programs|Foreign labor|Government information and archives|Higher education|Judicial review and appeals|Labor-management relations|Unemployment|Visas and passports|Wages and earnings,1.0,"The bill imposes specific wage obligations on private employers sponsoring H-1B visas, requiring them to pay the greater of the prevailing wage or $110,000, which directly regulates employer wage practices for a specific class of workers.",1,enforcement,wage_hour,"The bill imposes specific wage obligations on private employers sponsoring H-1B visas, directly regulating employer wage practices for a specific class of workers.",,,,"Although the bill imposes wage requirements on H-1B visa sponsors, its primary subject is immigration policy and visa program reform, not general private employer wage and hour obligations; the wage provisions are incidental conditions of visa sponsorship rather than the bill's central purpose of regulating employer wage conduct.",1,enforcement,wage_hour,"The bill directly imposes wage obligations on private employers petitioning for H-1B workers (requiring the greater of the comparable U.S. worker wage or $110,000), prohibits penalties for early termination, restricts non-compete/nondisclosure agreements, and establishes enforcement mechanisms for employer compliance — all constituting direct regulation of private employer wage and employment conduct."
s893-115,"A bill to repeal the current Internal Revenue Code and replace it with a flat tax, thereby guaranteeing economic growth and fairness for all Americans.","Simplified, Manageable, And Responsible Tax Act",Taxation,Employee benefits and pensions|Income tax credits|Income tax deductions|Income tax exclusion|Income tax rates|Legislative rules and procedure|Tax reform and tax simplification|Transfer and inheritance taxes,1.0,"The bill directly regulates private employer obligations regarding employee benefits by imposing a tax on excludable compensation and repealing non-discrimination and contribution limit rules for pension plans, thereby affecting how employers manage and fund retirement benefits.",1,enforcement,pension,"The bill affects private employer obligations by repealing non-discrimination and contribution limit rules for pension plans, directly impacting how employers manage and fund retirement benefits.",,,,"This comprehensive tax reform bill modifies the tax treatment of employer-provided benefits and pension plan rules, but does not impose new mandatory wage, hour, or benefit obligations on private employers; it restructures tax policy rather than regulating employer conduct regarding employee compensation or benefits.",1,enforcement,pension,"The bill repeals ERISA-related pension non-discrimination rules, contribution limits, and restrictions on distributions for private employer-sponsored retirement plans, directly altering mandatory obligations on private employers as plan sponsors regarding pension benefits."
s974-112,A bill to amend the Internal Revenue Code of 1986 to expand the tip tax credit to employers of cosmetologists and to promote tax compliance in the cosmetology sector.,Small Business Tax Equalization and Compliance Act of 2011,Taxation,"Employment taxes|Income tax credits|Self-employed|Small business|Tax administration and collection, taxpayers|Wages and earnings",1.0,"The bill regulates private employer obligations regarding the reporting of employee tips and wages in the cosmetology sector, directly addressing wage compliance and tax administration related to employee earnings.",,,,"The bill primarily concerns tax compliance and reporting obligations for employers of cosmetologists, not private employer wage, hour, or benefit obligations.",,,,"This bill primarily concerns tax compliance and reporting obligations in the cosmetology sector rather than substantive wage, hour, or benefit obligations; the tip tax credit extension is a tax benefit unrelated to enforcing employer wage/hour conduct, and the reporting requirements address tax administration, not private employer wage violations.",,,,"This bill extends an existing tax credit (for social security taxes on tips) to a new employer category and imposes tax reporting/information requirements; it is primarily a tax administration and tax credit bill, not one that imposes wage, hour, or benefit obligations on private employers regarding their employees' compensation or working conditions."
