bill_id,congress_term,introduced_at,official_title,short_title,policy_area,subjects,category_ids,category_labels,bill_type,reason,summary,gpt_categories,gpt_bill_type,gpt_reason
s675-109,109,2005-03-17,"A bill to reward the hard work and risk of individuals who choose to live in and help preserve America's small, rural towns, and for other purposes.",New Homestead Act of 2005,Housing and Community Development,Agricultural cooperatives|Agricultural credit|Bank accounts|Capital gains tax|Capital investments|Catastrophic health insurance|College costs|Construction costs|Consumer cooperatives|Cost of living adjustments|County politics and government|Depreciation and amortization|Earned income tax credit|Electrification|Entrepreneurs|Excise tax|Federal aid to education|Federally-guaranteed loans|Government paperwork|Higher education|Home ownership|Housing finance|Income tax|Indexing (Economic policy)|Infrastructure|Infrastructure (Economics)|Internal migration|Investment tax credit|Job creation|Medical economics|Minimum tax|Nonprofit organizations|Residence requirements|Rural economic development|Rural education|Rural housing|Saving and investment|Savings and loan associations|Scholarships|Securities|Small business|Small towns|Student loan funds|Tax credits|Tax deductions|Tax exclusion|Tax exemption|Tax penalties|Tax returns|Tax-exempt organizations|Trusts and trustees|Urban affairs|Venture capital|Vocational and technical education,1;15;22,Wage Hour & Benefits;Competition-related Offenses;Government Contracting,tax_credit_introduction,"The bill introduces multiple tax credits and incentives (loan repayment, capital gains, homestead accounts, investment credits) aimed at encouraging individuals and businesses to invest in and remain in rural areas, which indirectly relates to employer conduct by incentivizing economic activity and job creation in those areas, and includes provisions for small business investment and venture capital funding.","New Homestead Act of 2005 - Directs the Secretary of Education to repay a specified percentage (up to $2,000 per year) of certain education loans to an individual who completes a degree and both resides and is employed for at least five years in an area outside a metropolitan statistical area which for 20 years has a net out-migration of inhabitants of at least ten percent of the county population (qualifying county). Amends the Internal Revenue Code to allow a: (1) tax credit for the lesser of $5,000 or ten percent of the purchase price of a principal residence in a qualifying county; and (2) capital loss deduction with respect to a sale or exchange of a principal residence in a qualifying county. Provides for the creation of tax-exempt individual homestead accounts, funded by individual cash contributions and matching Federal contributions according to a specified formula, whose tax-free distributions after five years are used by residents of qualifying counties for qualified higher education or medical expenses, first-time homebuyer or business capitalization costs, or rollovers. Establishes a rural investment tax credit of 70 percent of the present value of new buildings (including rehabilitation projects) or 30 percent of the present value of existing buildings. Establishes a qualified rural small business investment credit of 30 percent of expenditures for starting or expanding a business, including costs for capital, plant and equipment, inventory expenses, and wages, but not including interest costs. Provides for accelerated depreciation of business property in rural investment projects. New Homestead Venture Capital Fund Act - Amends the Consolidated Farm and Rural Development Act to establish the New Homestead Venture Capital Fund (Fund), owned by private investors, to generate and provide equity capital to rural businesses in qualifying counties. Directs the Secretary of Agriculture to provide funding and guarantees for private investors in the Fund.",,,"The bill primarily focuses on tax incentives and financial support for individuals and businesses in rural areas, without directly addressing corporate misconduct or enforcement actions related to the Violation Tracker categories."
hr433-108,108,2003-01-28,To amend the Internal Revenue Code of 1986 to allow a minimum credit against the alternative minimum tax where stock acquired pursuant to an incentive stock option is sold or exchanged at a loss.,,Taxation,Employee stock options|Income tax|Losses|Minimum tax|Tax credits,1,Wage Hour & Benefits,tax_credit_introduction,"The bill introduces a tax credit related to losses from incentive stock options, which are a form of employee compensation, and thus relates to private employer wage/benefit conduct.",Amends the Internal Revenue Code to establish a special rule allowing a minimum credit against the alternative minimum tax where stock acquired pursuant to an incentive stock option is sold or exchanged at a loss.,,,"The bill addresses tax treatment of stock options and alternative minimum tax, which does not relate to corporate misconduct or enforcement against private employers."
hr4713-106,106,2000-06-21,"To amend the Internal Revenue Code of 1986 and the Surface Mining Control and Reclamation Act of 1977 to restore stability and equity to the financing of the United Mine Workers of America Combined Benefit Fund by eliminating the liability of reachback operators, to provide additional sources of revenue to the Fund, and for other purposes.",Combined Fund Stability and Fairness Act,Health,Auditing|Authorization|Coal|Collective bargaining agreements|Congressional investigations|Congressional reporting requirements|Employee health benefits|Fees|Government trust funds|Insurance premiums|Insurance rates|Interest|Labor unions|Pension funds|Reclamation of land|Retiree health benefits|Small business|Strip mining|Trusts and trustees,1;3,Wage Hour & Benefits;Labor Relations,enforcement,"The bill directly relates to the financing of the United Mine Workers of America Combined Benefit Fund, which involves employer contributions to pension and retiree health benefits, and modifies obligations related to coal wage agreements, impacting collective bargaining and employer conduct.","TABLE OF CONTENTS: Title I: Reachback Provisions Title II: Financing Provisions Subtitle A: Premiums Subtitle B: Transfers From Abandoned Mine Reclamation Fund Subtitle C: Authorization Combined Fund Stability and Fairness Act - Amends chapter 99 (Coal Industry Health Benefits) of the Internal Revenue Code and the Surface Mining Control and Reclamation Act of 1977 to redefine the term ""coal wage agreement"" to include only the 1988 agreement which became effective on February 1, 1988, and any predecessor to the 1988 agreement. Redefines the term ""signatory operator"" in a similar manner (as a 1988 operator).Provides for a reduction in health benefit premiums to coal miners if there is a surplus in the Combined Benefit Fund.Provides for a refund of premiums paid to the Fund for certain small entities which are not 1988 agreement operators.Provides for the transfer of certain amounts of interest from the Abandoned Mine Reclamation Fund to the Combined Fund.Reduces Abandoned Mine Reclamation Fund fees. Extends the Abandoned Mine Reclamation Fee program for an additional six years.Authorizes appropriations for the transfer of $38 million from the 1950 United Mine Workers of America Pension Plan annually to the Combined Fund to cover any shortfall in the premium account of the Combined Fund.",,,"The bill addresses funding and financial stability for a government-administered health benefits fund for coal miners, not private employer wage or benefit obligations."
s2285-109,109,2006-02-14,"A bill to improve the protection of witnesses, victims, and informants.","Whistleblower Empowerment, Security, and Taxpayer Protection Act of 2006",Government Operations and Politics,Administrative remedies|Appropriations|Civil actions and liability|Confidential communications|Congressional investigations|Congressional reporting requirements|Congressional witnesses|Damages|Disciplining of employees|Dismissal of employees|Evidence (Law)|Federal employees|Federal officials|Fines (Penalties)|Fraud|Government contractors|Governmental investigations|Grievance procedures|Informers|Inspectors general|Intelligence officers|Leave of absence|Legal fees|Members of Congress|Misconduct in office|Murder|Removal of officials|Reprogramming of appropriated funds|Security clearances|Special prosecutors|Victims of crimes|Waste in government spending|Whistle blowing|Witnesses,1;12;24,"Wage Hour & Benefits;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance",enforcement,"The bill addresses retaliation against whistleblowers, which is directly related to violations of wage and hour laws (FLSA, WARN Act, ERISA, FMLA) and also addresses fraud and misconduct within government, and illegal corporate campaign contributions and failure to disclose political advertising.","Whistleblower Empowerment, Security, and Taxpayer Protection Act of 2006 - Modifies federal criminal law provisions relating to tampering with or retaliating against a witness, victim, or an informant. Allows a victim of a prohibited personnel practice to bring a civil action against a covered entity and to recover damages. Makes any prospective waiver of the right of any individual to file a civil action under this Act void and unenforceable. Amends the Inspector General Act of 1978 to allow an Inspector General (IG) to be removed from office prior to the expiration of that IG's term only on one of the following grounds: (1) permanent incapacity; (2) inefficiency; (3) neglect of duty; (4) malfeasance; or (5) conviction of a felony or conduct involving moral turpitude. Establishes the term of office of an IG as seven years and permits reappointment. Authorizes an IG to annually transmit an appropriation estimate and request to the Director of the Office of Management and Budget (OMB) and to the appropriate congressional committees, in addition to the head of the establishment concerned. Requires the President to include in each annual budget specified IG appropriation information. Prohibits any funds appropriated for activities under the supervision of an IG from being reprogrammed, transferred, or otherwise spent for any other purpose without such IG's written consent. Directs each IG to: (1) create and maintain a hotline for employees confidentially reporting alleged violations; and (2) compile a statistical summary of all allegations for annual reporting to Congress. Sets forth a special rule regarding revocation of security clearances. Permits the creation of whistleblower affairs directorates within offices of IGs. Includes coverage of certain planned disclosures of information under prohibited personnel practices provisions. Permits petitions for the appointment of special prosecutor to handle cases alleging prohibited personnel practices. Directs the Comptroller General to study the costs of retaliation against or suppression of whistleblowers.",3;12,enforcement,"The bill strengthens protections against retaliation for whistleblowers, which relates to labor relations and fraud, corruption, and criminal conduct by enhancing enforcement mechanisms for reporting misconduct."
s1639-113,113,2013-11-04,"A bill to amend the FAA Modernization and Reform Act of 2012 to provide guidance and limitations regarding the integration of unmanned aircraft systems into United States airspace, and for other purposes.",Drone Aircraft Privacy and Transparency Act of 2013,Transportation and Public Works,"Administrative law and regulatory procedures|Aviation and airports|Civil actions and liability|Congressional oversight|Criminal investigation, prosecution, interrogation|Criminal justice information and records|Criminal procedure and sentencing|Department of Transportation|Evidence and witnesses|Federal Trade Commission (FTC)|Government information and archives|Government liability|Government studies and investigations|Intelligence activities, surveillance, classified information|Law enforcement administration and funding|Legal fees and court costs|Licensing and registrations|Right of privacy",1;2;14;24,Wage Hour & Benefits;Employment Discrimination;Consumer Protection;Government Reporting & Compliance,enforcement,"The bill regulates the operation of drones by private entities and law enforcement, including data collection and privacy principles, and grants enforcement authority to the FTC and a private right of action, relating to potential violations of privacy and deceptive practices.","Drone Aircraft Privacy and Transparency Act of 2013 - Amends the FAA Modernization and Reform Act of 2012 to direct the Secretary of Transportation (DOT) to study and identify any potential threats to privacy protections posed by the integration of unmanned aircraft (drone) systems into the national airspace system, including any potential violations of privacy principles.

Directs the Secretary to establish certain procedures to allow for civil operation in the national airspace system of small drone systems that do not meet expedited operational authorization requirements. Requires such procedures to ensure that the integration of drone systems into the national airspace system is done in compliance with privacy principles.

Prohibits the Secretary from approving, issuing, or awarding any certificate, license, or other grant of authority to operate a drone system in the national airspace system unless the application for it includes a data collection statement, meeting certain requirements, that provides reasonable assurance that the applicant will operate the drone system in accordance with privacy principles. Applies the same privacy principles requirement to any drone system to be operated by a law enforcement agency or a law enforcement agency contractor or subcontractor, except that the application for it shall include a data minimization statement, meeting certain requirements, instead of a data collection statement.

Directs the Administrator of the Federal Aviation Administration (FAA) to make any approved certificate, license, or other grant of authority, plus other specified information, available in a searchable format on the public FAA website.

Prohibits a governmental entity from using a drone system, or requesting information or data collected by another entity through use of a drone system, for protective activities, or for law enforcement or intelligence purposes, except pursuant to a warrant issued using the procedures described in the Federal Rules of Criminal Procedure (or, in the case of a state court, issued using state warrant procedures) by a court of competent jurisdiction, or as permitted under the Foreign Intelligence Surveillance Act of 1978. Makes an exception to this prohibition in exigent circumstances when a law enforcement entity reasonably believes there is: (1) an imminent danger of death or serious physical injury; or (2) a high risk of a terrorist attack by a specific individual or organization, according to the Secretary of Homeland Security (DHS).

Makes it unlawful to operate a drone system in a manner that is not in accordance with the terms of a data collection statement or in a manner violating any portion of the final rule for the procedures for civil operation of small drone systems required by this Act. Grants enforcement authority to the Federal Trade Commission (FTC).

Authorizes a state to bring a civil action on behalf of state residents in state or U.S. district court for injunctive relief against violations of this Act or related regulations if the state attorney general has reason to believe that an interest of state residents has been or is threatened or adversely affected by a prohibited act or practice.

Creates a private right of action in state or U.S. district court for persons injured by a prohibited act.

Allows a suit against a governmental entity.

Requires the FAA to revoke the certificate, license, or other grant of authority to operate a drone system operated in a prohibited manner.

Declares that nothing in this Act may be construed to apply to model aircraft flown strictly for hobby or recreational purposes and meeting certain other criteria.",,,"The bill primarily addresses privacy and regulatory procedures related to the integration of drones into U.S. airspace, focusing on privacy protections and data collection, which do not align with any specific category of corporate misconduct targeted by government enforcement actions."
s831-107,107,2001-05-03,A bill to amend the Internal Revenue Code of 1986 to provide for a 100 percent deduction for business meals.,,Taxation,Business income tax|Costs|Expense accounts|Income tax|Recreation|Tax deductions,1,Wage Hour & Benefits,tax_credit_introduction,"The bill provides a 100% deduction for business meals, which could be seen as incentivizing business activity and potentially related to employer expenses, though it does not directly regulate wage or benefit conduct.","Amends the Internal Revenue Code to provide for a 100 percent deduction for qualifying business meal expenses, including individuals subject to Federal hours of service percentages.",,,"The bill provides a tax deduction for business meal expenses, which does not relate to any specific category of corporate misconduct or enforcement action."
hr2649-109,109,2005-05-26,To strengthen aviation security.,Strengthen Aviation Security Act,Transportation and Public Works,Access to airports|Administrative procedure|Administrative remedies|Air cargo|Air routes|Aircraft|Aircraft pilots|Airline employees|Airline passenger traffic|Airlines|Airports|Aviation safety|Biological warfare|Business records|Chemical industries|Chemical warfare|Civil actions and liability|Collective bargaining|Congressional reporting requirements|Criminal justice information|Damages|Data banks|Department of Homeland Security|Department of Labor|Directories|Disciplining of employees|Discrimination in employment|Dismissal of employees|Emergency communication systems|Employee training|Federal aid to transportation|Federal employees|Federal law enforcement officers|Firearms|Flight crews|Freight forwarders|Government contractors|Governmental investigations|Grievance procedures|Identification devices|Identification of criminals|Industrial buildings|Infrastructure|Labor unions|Legal fees|Nuclear facilities|Nuclear reactors|Nuclear terrorism|Nuclear weapons|Parking facilities|Police communication systems|Police training|Risk|Security measures|Social security numbers|Standards|Subcontractors|Terrorism|Transportation workers|Wage restitution|Whistle blowing|Wireless communication,1;3;4,Wage Hour & Benefits;Labor Relations;Workplace Safety,enforcement,"The bill directly addresses private employer conduct through mandatory security training for flight attendants, requirements for background checks for airport workers, and whistleblower protections, relating to wage restitution and collective bargaining rights, and also focuses on aviation safety which is enforced by OSHA.","Strengthen Aviation Security Act - Amends federal transportation law to direct the Secretary of Homeland Security (Secretary) to establish a system to inspect 100% of the cargo transported on passenger aircraft operated by an air carrier or foreign air carrier in air transportation or intrastate air transportation Prescribes requirements for deployment of federal law enforcement officers not part of the Federal Air Marshall Service as alternative security personnel on commercial aircraft. Requires the Secretary to ensure the deployment of federal marshals on flights of all-cargo air transportation where sufficient risk of terrorist activity has been determined. Amends the Intelligence Reform and Terrorism Prevention Act of 2004 to require the Assistant Secretary for Homeland Security (Transportation Security Administration (TSA)) to study and report to Congress on the viability of devices to enable discreet, wireless communications between flight attendants, pilots, federal air marshals, and ground-based personnel during a flight to improve coordination of planning and activities in the event of an act of terrorism. Prescribes requirements for mandatory basic security training program for flight attendants. Directs the Secretary to: (1) require aircraft engaged in cargo air transportation or intrastate air transportation to have secured cockpit doors between the cargo and pilot compartments; and (2) establish during high threat levels no-fly zones around sensitive nuclear and chemical facilities. Directs the Secretary to: (1) require airport operators to complete vulnerability assessments of airport facilities; and (2) develop a plan for addressing such vulnerabilities. Directs the Secretary to require airports serving operators of general aviation aircraft to: (1) require that all aircraft while parked at airports be secured by a visible immobilizing device; and (2) ensure that all individuals with access to such aircraft be subject to a background check. Amends the Homeland Security Act of 2002 to direct the Secretary to issue regulations to: (1) improve control over access to secured areas of each U.S. airport, including background checks for, and metal detector screening of, airport workers; and (2) prohibit any entity other than an airport operator from issuing a security badge to provide access to the airport's secure area. Sets forth certain whistleblower protection requirements for airport workers (including TSA employees). Expresses the sense of Congress that: (1) airport screening functions should continue to be performed by federal employees; and (2) the Secretary should pursue resolution of all issues that have delayed implementation of the mandate to check passenger information against the government watchlist (no-fly list) before departures of international flights to or from the United States.",3;4,enforcement,The bill addresses labor relations by setting whistleblower protection requirements for airport workers and workplace safety by mandating security training for flight attendants and improving airport security measures.
s3000-111,111,2010-02-04,A bill to extend the increase in the FMAP provided in the American Recovery and Reinvestment Act of 2009 for an additional 6 months.,,Health,Economic performance and conditions|Hospital care|Intergovernmental relations|Medicaid|State and local finance|Unemployment,1,Wage Hour & Benefits,enforcement,"The bill extends the increased FMAP under Medicaid, which affects state budgets and indirectly impacts healthcare providers, but primarily relates to state funding of healthcare programs and does not directly regulate private employer wage or benefit conduct.","Amends the American Recovery and Reinvestment Act of 2009 to extend until January 1, 2011, the temporary increase in the federal medical assistance percentage (FMAP), under title XIX (Medicaid) of the Social Security Act, for any state with a certain unemployment increase percentage during the recession adjustment period. Extends the entire recession adjustment period from December 31, 2010, through December 31, 2011. Declares that voluntary contributions by a political subdivision to the non-federal share of expenditures under a state Medicaid plan, or to the non-federal share of payments for inpatient hospital services furnished by disproportionate share (DSH) hospitals shall not be considered to be required contributions. (Thus allows a state that otherwise requires such contributions during the recession adjustment period, but instead receives voluntary contributions from political subdivisions, to be eligible for an increase in its FMAP.)",,,"The bill extends increased federal funding for state Medicaid programs, which does not involve private employer wage or benefit obligations."
s61-111,111,2009-01-06,"A bill to amend title 11 of the United States Code with respect to modification of certain mortgages on principal residences, and for other purposes.",Helping Families Save Their Homes in Bankruptcy Act of 2009,Finance and Financial Sector,Bankruptcy|Consumer credit|Housing finance and home ownership,1,Wage Hour & Benefits,enforcement,"The bill modifies bankruptcy law to allow for easier modification of mortgages on principal residences, potentially reducing the amount owed by debtors and impacting creditors, and it includes provisions related to consumer protection law violations, directly affecting private employer/creditor conduct.","Helping Families Save their Homes in Bankruptcy Act of 2009 - Amends federal bankruptcy law governing a Chapter 13 debtor (adjustment of debts of an individual with regular income). Excludes from computation of debts the secured or unsecured portions of: (1) debts secured by the debtor's principal residence if the current value of that residence is less than the secured debt limit; or (2) debts secured or formerly secured by debtor's principal residence that was either sold in foreclosure or surrendered to the creditor if the current value of such real property is less than the secured debt limit. Declares the credit counseling requirement inapplicable to a Chapter 13 debtor who certifies that he or she has received notice that the holder of a claim secured by the debtor's principal residence may commence a foreclosure on the debtor's principal residence. Requires the court to disallow a claim that is subject to any remedy for damages or rescission due to violations of state or federal consumer protection law, including the Truth in Lending Act, notwithstanding the prior entry of a foreclosure judgment. Allows modification of the rights of claim holders, in the event of a foreclosure notice for a chapter 13 debtor, among other means by: (1) reducing a claim to equal the value of the debtor's interest in the residence securing such claim, and any adjustments to a related adjustable rate of interest; (2) waiving early repayment or prepayment penalties; and (3) extending the repayment period. Denies debtor liability for certain fees and charges incurred while the bankruptcy case is pending and arising from a debt secured by the debtor's principal residence, unless the claim holder observes specified requirements. Adds to conditions for court confirmation of a plan in bankruptcy that: (1) the holder of a claim secured by the debtor's principal residence retain the lien securing the claim until the later of the payment of such claim as reduced and modified or the discharge of a debtor from all debts; and (2) the plan modifies the claim in good faith. Excludes from final discharge of a debtor from all debts: (1) any payments to claim holders whose rights are modified under this Act; and (2) any unpaid portion of a claim as reduced.",14,enforcement,The bill addresses consumer protection by modifying bankruptcy laws to protect homeowners from foreclosure and ensuring claims comply with consumer protection laws like the Truth in Lending Act.
s2155-108,108,2004-03-02,"A bill to amend the Internal Revenue Code of 1986 to provide for a manufacturer's jobs credit, and for other purposes.",Growing Our Manufacturing Employment (GoME) Act,Taxation,Accounting|Administrative procedure|Affiliated corporations|Capital gains tax|Corporate finance|Corporate mergers|Corporation taxes|Department of the Treasury|Depreciation and amortization|Dislocated workers|Foreign corporations|Income tax|Leases|Limitation of actions|Location of industries|Lumber trade|Manufacturing industries|Minimum tax|Mutual funds|Partnerships|Profit|Reforestation|Stockholders|Stocks|Tax credits|Tax deductions|Tax evasion|Tax penalties|Tax shelters|Taxation of foreign income|Timber sales|Wages,1,Wage Hour & Benefits,tax_credit_introduction,"The bill introduces a 'manufacturer's jobs credit' equal to a percentage of wages paid to employees, incentivizing employers to maintain domestic employment and thus relates to wage obligations.","Growing Our Manufacturing Employment (GoME) Act - Amends the Internal Revenue Code to establish as a general business tax credit a manufacturer's jobs credit equal to a certain percentage of wages paid to the employees (including employees eligible for a trade readjustment allowance) of a taxpayer that has a certain level of domestic production gross receipts in the current and preceding taxable years and that is not disqualified as an inverted domestic corporation (a foreign corporation that manipulates its structure to evade U.S. taxes). Allows an income tax deduction for: (1) nine percent of income allocable to domestic production activities; (2) up to $10,000 of reforestation expenditures in the current taxable year. Permits a taxpayer to revoke a prior election to treat the cutting of timber as a sale or exchange. Qualifies the outright sale of timber for capital gains tax treatment. Repeals the investment tax credit for reforestation expenditures. Sets forth requirements for transactions to qualify for tax benefits under the economic substance doctrine, including special rules for transactions with tax-indifferent parties. Sets forth rules for the tax treatment of inverted domestic corporations (a foreign incorporated entity that acquires substantially all of the properties of a domestic corporation or partnership, that retains 80 percent of stock ownership identity, and that does not have substantial business activities in the foreign country under whose law the entity is created, for the purpose of avoiding U.S. taxation). Treats a foreign corporation deemed to be an inverted domestic corporation as a domestic corporation for U.S. tax purposes.",,,"The bill primarily introduces a tax credit for manufacturers based on wages paid, but it does not directly regulate or enforce private employer wage obligations or misconduct."
