bill_id,congress_term,introduced_at,official_title,short_title,policy_area,subjects,category_ids,category_labels,summary,,is_related,bill_type,reason
hr4713-106,106,6/21/2000,"To amend the Internal Revenue Code of 1986 and the Surface Mining Control and Reclamation Act of 1977 to restore stability and equity to the financing of the United Mine Workers of America Combined Benefit Fund by eliminating the liability of reachback operators, to provide additional sources of revenue to the Fund, and for other purposes.",Combined Fund Stability and Fairness Act,Health,Auditing|Authorization|Coal|Collective bargaining agreements|Congressional investigations|Congressional reporting requirements|Employee health benefits|Fees|Government trust funds|Insurance premiums|Insurance rates|Interest|Labor unions|Pension funds|Reclamation of land|Retiree health benefits|Small business|Strip mining|Trusts and trustees,1;15;22,Wage Hour & Benefits;Competition-related Offenses;Government Contracting,"TABLE OF CONTENTS: Title I: Reachback Provisions Title II: Financing Provisions Subtitle A: Premiums Subtitle B: Transfers From Abandoned Mine Reclamation Fund Subtitle C: Authorization Combined Fund Stability and Fairness Act - Amends chapter 99 (Coal Industry Health Benefits) of the Internal Revenue Code and the Surface Mining Control and Reclamation Act of 1977 to redefine the term ""coal wage agreement"" to include only the 1988 agreement which became effective on February 1, 1988, and any predecessor to the 1988 agreement. Redefines the term ""signatory operator"" in a similar manner (as a 1988 operator).Provides for a reduction in health benefit premiums to coal miners if there is a surplus in the Combined Benefit Fund.Provides for a refund of premiums paid to the Fund for certain small entities which are not 1988 agreement operators.Provides for the transfer of certain amounts of interest from the Abandoned Mine Reclamation Fund to the Combined Fund.Reduces Abandoned Mine Reclamation Fund fees. Extends the Abandoned Mine Reclamation Fee program for an additional six years.Authorizes appropriations for the transfer of $38 million from the 1950 United Mine Workers of America Pension Plan annually to the Combined Fund to cover any shortfall in the premium account of the Combined Fund.",,True,other,"The bill restructures how private employers (coal companies) finance retiree health benefit obligations under the UMWA Combined Benefit Fund, which is a private employer obligation."
s2285-109,109,2/14/2006,"A bill to improve the protection of witnesses, victims, and informants.","Whistleblower Empowerment, Security, and Taxpayer Protection Act of 2006",Government Operations and Politics,Administrative remedies|Appropriations|Civil actions and liability|Confidential communications|Congressional investigations|Congressional reporting requirements|Congressional witnesses|Damages|Disciplining of employees|Dismissal of employees|Evidence (Law)|Federal employees|Federal officials|Fines (Penalties)|Fraud|Government contractors|Governmental investigations|Grievance procedures|Informers|Inspectors general|Intelligence officers|Leave of absence|Legal fees|Members of Congress|Misconduct in office|Murder|Removal of officials|Reprogramming of appropriated funds|Security clearances|Special prosecutors|Victims of crimes|Waste in government spending|Whistle blowing|Witnesses,1;3;12;24,"Wage Hour & Benefits;Labor Relations;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance","Whistleblower Empowerment, Security, and Taxpayer Protection Act of 2006 - Modifies federal criminal law provisions relating to tampering with or retaliating against a witness, victim, or an informant. Allows a victim of a prohibited personnel practice to bring a civil action against a covered entity and to recover damages. Makes any prospective waiver of the right of any individual to file a civil action under this Act void and unenforceable. Amends the Inspector General Act of 1978 to allow an Inspector General (IG) to be removed from office prior to the expiration of that IG's term only on one of the following grounds: (1) permanent incapacity; (2) inefficiency; (3) neglect of duty; (4) malfeasance; or (5) conviction of a felony or conduct involving moral turpitude. Establishes the term of office of an IG as seven years and permits reappointment. Authorizes an IG to annually transmit an appropriation estimate and request to the Director of the Office of Management and Budget (OMB) and to the appropriate congressional committees, in addition to the head of the establishment concerned. Requires the President to include in each annual budget specified IG appropriation information. Prohibits any funds appropriated for activities under the supervision of an IG from being reprogrammed, transferred, or otherwise spent for any other purpose without such IG's written consent. Directs each IG to: (1) create and maintain a hotline for employees confidentially reporting alleged violations; and (2) compile a statistical summary of all allegations for annual reporting to Congress. Sets forth a special rule regarding revocation of security clearances. Permits the creation of whistleblower affairs directorates within offices of IGs. Includes coverage of certain planned disclosures of information under prohibited personnel practices provisions. Permits petitions for the appointment of special prosecutor to handle cases alleging prohibited personnel practices. Directs the Comptroller General to study the costs of retaliation against or suppression of whistleblowers.",,False,,"The bill focuses on protections for whistleblowers, victims, and informants, primarily involving government operations and politics, rather than private employer obligations on employee wages, hours, or benefits."
hr4423-108,108,5/20/2004,"Making appropriations for the Department of Veterans Affairs for the fiscal year ending September 30, 2005, and for other purposes.",,Armed Forces and National Security,Ambulatory care|Appropriations|Auditing|Building construction|Cemeteries and funerals|Collection of accounts|Congressional oversight|Congressional reporting requirements|Construction costs|Counseling|Department of Veterans Affairs|Disabled|Disasters|Drugs|East Asia|Family services|Federal aid to health facilities|Financial disclosure|Government insurance|Government paperwork|Government vehicles|Grants-in-aid|Hospital care|Income tax|Inspectors general|Job hunting|Leases|Life insurance|Maintenance and repair|Medical research|Mental health services|Parking facilities|Philippines|Prosthesis|Rent|Revolving funds|Soldiers' homes|Tax rates|Veterans' benefits|Veterans' employment|Veterans' hospitals|Veterans' medical care|Veterans' rehabilitation,1,Wage Hour & Benefits,"Makes appropriations for FY 2005 for the Department of Veterans Affairs for: (1) the Veterans Health Administration for the maintenance and operation of hospitals, nursing homes, and domiciliary facilities; (2) the Department of Veterans Affairs Medical Care Collections Fund; (3) medical and prosthetic research; (4) medical administration and miscellaneous operating expenses; (5) general departmental operating expenses; (6) National Cemetery Administration operation and maintenance; (7) the Office of Inspector General; (8) construction, major projects; (9) construction, minor projects; (10) the parking revolving fund; (11) grants for the construction of State nursing home and domiciliary facilities; and (12) grants for establishing, expanding, or improving State veterans' cemeteries.",,False,,"The bill primarily involves appropriations for the Department of Veterans Affairs and does not address private employer obligations on employee wages, hours, or benefits."
s3975-111,111,11/18/2010,"A bill to permanently extend the 2001 and 2003 tax relief provisions, and to permanently repeal the estate tax, and to provide permanent alternative minimum tax relief, and for other purposes.",Tax Relief Certainty Act,Taxation,Adoption and foster care|Capital gains tax|Employee benefits and pensions|Income tax credits|Income tax exclusion|Income tax rates|Transfer and inheritance taxes,1;11,Wage Hour & Benefits;Accounting Financial Reporting & Tax,"Tax Relief Certainty Act - Eliminates the terminating date of the Economic Growth and Tax Relief Reconciliation Act of 2001, thus making the provisions of such Act permanent. Terminates after December 31, 2011, provisions of the Patient Protection and Affordable Care Act increasing tax benefits for adoption. Eliminates the terminating date of the Jobs and Growth Tax Relief Reconciliation Act of 2003 applicable to provisions reducing tax rates on dividends and capital gains. Amends the Internal Revenue Code to: (1) phase-in between 2010 through 2020 increases in the exemption amount for the alternative minimum tax (AMT); and (2) make permanent offsets against the AMT for certain nonrefundable tax credits.",,False,,"The bill primarily addresses general tax relief provisions, including the repeal of the estate tax and adjustments to the alternative minimum tax, without specific focus on private employer obligations related to employee wages, hours, or benefits."
s1086-113,113,6/3/2013,"A bill to reauthorize and improve the Child Care and Development Block Grant Act of 1990, and for other purposes.",Child Care and Development Block Grant Act of 2014,Families,"Adoption and foster care|Allergies|Cardiovascular and respiratory health|Child care and development|Child health|Child safety and welfare|Consumer affairs|Crimes against children|Criminal justice information and records|Disability and paralysis|Domestic violence and child abuse|Emergency medical services and trauma care|Emergency planning and evacuation|Foreign language and bilingual programs|Government information and archives|Health promotion and preventive care|Licensing and registrations|Medicaid|Nutrition and diet|Personnel records|Physical fitness and lifestyle|Poverty and welfare assistance|Preschool education|Sex offenses|State and local government operations|Teaching, teachers, curricula",1,Wage Hour & Benefits,"(This measure has not been amended since it was passed by the House on September 15, 2014. The summary of that version is repeated here.) Child Care and Development Block Grant Act of 2014 - (Sec. 3) Reauthorizes the child care and development block grant (CCDBG) program under the Child Care and Development Block Grant Act of 1990 (CCDBG Act) through FY2020 at specified levels. (Sec. 4) Allows governors to designate a collaborative agency or establish a joint interagency office to serve as the lead agency responsible for administering the CCDBG program.

Requires the lead agency, at the option of an Indian tribe or organization in the state, to collaborate and coordinate with that tribe or tribal organization in the development of the state child care and development plan in a timely manner.

(Sec. 5) Increases from two to three years the period that must be covered by a state child care and development plan.

Revises and expands plan requirements, including, among others, those regarding state licensing, consumer and provider education information, training and professional development, child-to-provider ratios, health and safety, child abuse reporting, protection for working parents, priority for low-income populations, coordination with other programs, and the needs of children in child care services during the period before, during, and after a state of emergency, including a statewide child care disaster plan meeting specified criteria. Prescribes early learning and developmental guidelines.

Requires the Secretary of Health and Human Services (HHS), acting through the Assistant Secretary for Children and Families, to report annually about whether each state uses funds allocated to it for the fiscal year involved in accordance with the specified priority for services.

Authorizes a state to use funds to establish or support a system of local or regional child care resource and referral organizations.

Requires the state plan to demonstrate that the state has developed and conducted (within the two years preceding submission of the application containing the state plan) a statistically valid and reliable survey of the market rates for child care services in the state or an alternative methodology, such as a cost estimation model.

(Sec. 6) Revises requirements for activities to improve the quality of child care.

Requires that states spend the following percentages of their program funding to improve the quality of child care: (1) at least 7% in the first two fiscal years after the enactment of this Act, (2) at least 8% in the third and fourth fiscal years, and (3) at least 9% in the fifth and each succeeding full fiscal year after enactment. Requires states to spend, in addition, at least 3% of such funds received by the second full fiscal year after enactment, and received for each succeeding full fiscal year, to improve the quality of care for infants and toddlers.

Requires states receiving funds under the CCDBG Act to: (1) support training and professional development of the child care workforce, (2) improve development or use of early learning and developmental guidelines, (3) develop or enhance a tiered quality rating system for child care providers and services, and (4) improve the supply and quality of child care programs and services for infants and toddlers through specified activities.

(Sec. 7) Requires any state receiving CCDBG funds to have in effect: (1) policies and procedures to require and conduct criminal background checks, with a 10-year look-back period, for current and prospective staff members of child care providers; and (2) licensing, regulation, and registration requirements that prohibit the employment of certain ineligible individuals as child care staff members. Requires a state to ensure that such policies and procedures are published on the websites of state and local lead agencies. Makes ineligible for employment by a child care provider receiving assistance under this Act any individual who: (1) refuses to consent to a criminal background check, (2) knowingly makes a materially false statement in connection with such a background check, (3) is registered or is required to be registered on a state sex offender registry or the National Sex Offender Registry, or (4) has been convicted of one or more specified felonies. Prescribes requirements for the process of background checks, including fees a state may charge. (Sec. 8) Directs the Secretary of Health and Human Services (HHS) to: (1) provide technical assistance to states (which may be on a reimbursable basis) by qualified experts on practices grounded in scientifically valid research to carry out the CCDBG Act; (2) disseminate, for voluntary informational purposes, information on practices that scientifically valid research indicates are most successful in improving the quality of programs that receive CCDBG assistance; and (3) after consultation with the heads of any other federal agencies involved, issue guidance and disseminate information on best practices regarding use of funding combined by the states.

Authorizes the Secretary to waive, upon state request, for up to three years any provision under the CCDBG program, or sanctions imposed upon a state for noncompliance with requirements, if the Secretary makes certain findings, including that the waiver will, by itself, contribute to or enhance the states's ability to carry out CCDBG purposes.

Declares that nothing shall be construed as granting the Secretary authority to permit states to alter the eligibility requirements for eligible children, including work requirements, job training, or educational program participation, that apply to the parents of eligible children.

Requires states receiving CCDBG funds to collect monthly information on whether children receiving CCDBG assistance are homeless.

Requires a state to report annually to the Secretary aggregate data on the number of child fatalities occurring among children while in the care and facility of child care providers receiving CCDBG assistance, listed by the type of child care provider and indicating whether the providers are licensed or license-exempt.

Directs the Secretary to operate, directly or through the use of grants or contracts, a national toll-free hotline and website.

Prohibits any quarterly state CCDBG reports to the Secretary from containing personally identifiable information.

(Sec. 9) Revises the amount the Secretary is required to reserve from annual appropriations for CCDBG payments to Indian tribes and tribal organizations. Requires a reservation of 2% of such appropriations (currently, between 1% and 2%), but allows for a greater reservation in certain circumstances.

Directs the Secretary to reserve up to $1.5 million of the amount appropriated for the CCDBG program each fiscal year for the operation of the national toll-free hotline and website.

Requires the Secretary also to reserve up to 1/2 of 1% of CCDBG program appropriations each to: (1) support technical assistance and dissemination of information on practices most successful in improving the quality of programs receiving CCDBG assistance; and (2) conduct research and demonstration activities, as well as periodic external, independent evaluations of the impact of the CCDBG program on increasing access to, and improving the safety and quality of, child care services.

Directs the Secretary, in consultation with Indian tribes and tribal organizations, to develop minimum child care standards applicable to any of them receiving CCDBG assistance.

Requires the Secretary to waive the prohibition against tribal use of CCDBG funds for construction or renovation of child care facilities if it would decrease the level of child care services, in any case where: (1) the decrease is temporary, and (2) the level of child care services will increase or improve after the construction or renovation is completed.

(Sec. 10) Defines ""child with a disability"" as one under age 13 who has a disability and is eligible for early intervention services under the Individuals with Disabilities Education Act.

Caps the family assets of an ""eligible child"" at $1 million.

(Sec. 11) Declares that nothing in the CCDBG Act shall be construed in a manner to: (1) favor or promote the use of grants and contracts for the receipt of child care services under the CCDBG Act over the use of child care certificates; or (2) disfavor or discourage the use of such certificates for the purchase of child care services, including those services provided by private or nonprofit entities, such as faith-based providers.

(Sec. 12) Directs the Comptroller General (GAO) to study the number of families eligible to receive assistance under the CCDBG Act, identified by the type of assistance requested, who have applied for it and been placed on a waiting list.

(Sec. 13) Directs the Secretary, in conjunction with the Secretary of Education, to conduct an interdepartmental review of all early learning and care programs for children under age six.",,False,,"The bill primarily focuses on reauthorizing and improving the Child Care and Development Block Grant program, which involves state and federal government operations and funding for child care services, rather than private employer obligations on employee wages, hours, or benefits."
hr2587-113,113,6/28/2013,"To provide for Federal agencies and employees to support science, technology, engineering, and mathematics (STEM) activities in classrooms.",Planting STEM in the Classroom Act,Education,"Elementary and secondary education|Employee leave|Government employee pay, benefits, personnel management|Science and engineering education|Social work, volunteer service, charitable organizations|Teaching, teachers, curricula",1,Wage Hour & Benefits,"Planting STEM in the Classroom Act - Directs the Office of Personnel Management (OPM) to develop a policy to: (1) encourage federal employees engaged in STEM (science, technology, engineering, and mathematics) activities to volunteer in STEM education activities by providing them with the administrative leave and support they need to do so; and (2) support increased communication and partnerships between federal scientists and engineers and elementary and secondary schools and teachers through volunteerism in STEM education activities.

Requires each federal science agency to report to Congress on efforts it will make to promote widespread public understanding of career opportunities in the STEM fields specific to the workforce needs of that agency.",,False,,"The bill focuses on federal employees volunteering in STEM education and does not address private employer obligations on employee wages, hours, or benefits."
hr1057-108,108,3/4/2003,To repeal the sunset of the Economic Growth and Tax Relief Reconciliation Act of 2001 with respect to the expansion of the adoption credit and adoption assistance programs.,Adoption Tax Relief Guarantee Act,Taxation,Adoption|Costs|Employee benefit plans|Income tax|Sunset legislation|Tax credits|Tax exclusion,1,Wage Hour & Benefits,The Adoption Tax Relief Guarantee Act - Amends the Economic Growth and Tax Relief Reconciliation Act of 2001 to make the sunset provisions inapplicable to provisions that expanded and increased the adoption credit and adoption assistance programs under the Internal Revenue Code.,,False,,"The bill focuses on making permanent the expansion of adoption tax credits and assistance programs, which are not directly related to private employer obligations on employee wages, hours, or benefits."
s393-108,108,2/13/2003,"A bill to amend the Internal Revenue Code of 1986 to allow employers a credit against income tax with respect to employees who participate in the military reserve components and to allow a comparable credit for participating reserve component self-employed individuals, and for other purposes.",,Taxation,Armed forces reserves|Income tax|Military pay|Self-employed|Tax credits|Wages,1,Wage Hour & Benefits,"Amends the Internal Revenue Code to allow employers an income tax credit with respect to employees who participate in the military reserve components, and to allow a comparable credit for participating reserve component self-employed individuals.",,True,tax_credit_introduction,"The bill introduces a new tax credit for employers related to employee wages or benefits, specifically incentivizing employers to support employees who participate in military reserve components."
s2506-109,109,4/4/2006,"A bill to require Federal agencies to support health impact assessments and take other actions to improve health and the environmental quality of communities, and for other purposes.",Healthy Places Act of 2006,Health,Access to health care|Citizen participation|Community health services|Data banks|Environmental assessment|Environmental health|Environmental monitoring|Environmental research|Epidemiology|Executive reorganization|Federal aid to health facilities|Federal aid to research|Federal-local relations|Federal-state relations|Health education|Health planning|Health surveys|Land use|Medical research|Minorities|Minority health|Quality of life|Research grants,1;14,Wage Hour & Benefits;Consumer Protection,"Healthy Places Act of 2006 - Requires the Secretary of Health and Human Services to establish an interagency working group to discuss environmental health concerns, particularly concerns disproportionately affecting disadvantaged populations. Requires the Secretary, acting through the Director of the Centers for Disease Control and Prevention (CDC), to establish a program at the National Center of Environmental Health at CDC focused on advancing the field of health impact assessment. Requires the Director to develop guidance for the assessment of potential health effects of land use, housing, and transportation policy and plans. Requires the Secretary, acting through the Director, to: (1) establish a program to provide funding and technical assistance to state or local governments affected or potentially affected by an activity or proposed activity to prepare health impact assessments; and (2) establish and maintain a health impact assessment database. Requires the Director to establish a grant program to award grants to state or local communities for environmental health improvement activities. Requires grantees to: (1) establish a planning and prioritizing council; and (2) conduct environmental health assessment. Requires the Secretary to provide grants to public or private nonprofit institutions to conduct and coordinate research on the built environment and its influence on individual and population-based health.",,False,,"The bill focuses on federal agency actions, health impact assessments, and environmental health improvements, not on private employer obligations related to employee wages, hours, or benefits."
s2400-113,113,5/22/2014,"A bill to provide for improvement of field emergency medical services, and for other purposes.",Field EMS Innovation Act,Health,"Administrative law and regulatory procedures|Advisory bodies|Civil actions and liability|Congressional oversight|Department of Health and Human Services|Education programs funding|Emergency medical services and trauma care|Executive agency funding and structure|Government information and archives|Government studies and investigations|Government trust funds|Health care quality|Health information and medical records|Health personnel|Health programs administration and funding|Licensing and registrations|Medical education|Medical research|Medicare|Motor vehicles|Performance measurement|Tax administration and collection, taxpayers|Transportation safety and security",1,Wage Hour & Benefits,"Field EMS Innovation Act - Amends the Public Health Service Act to designate the Department of Health and Human Services (HHS) as the primary federal agency for emergency medical services (EMS) and trauma care. Establishes the Office of Emergency Medical Services and Trauma (or Office of EMS and Trauma) within HHS. Gives the Office responsibilities related to emergency medical services and authorizes the Secretary of HHS to delegate additional responsibilities related to EMS.

Requires the Director of the Office to: (1) implement a national EMS strategy; (2) establish the EQUIP grant program to promote excellence, quality, universal access, innovation, and preparedness in field EMS; and (3) establish the SPIA grant program to improve EMS system performance, integration, and accountability, to ensure preparedness, to enhance oversight and data collection, and to promote standardization of certifications.

Defines ""field EMS"" to mean emergency medical services provided to patients (including transport by ground, air, or otherwise) prior to or outside a medical facility or other clinical setting.

Requires the Director to improve medical oversight of field EMS, including by: (1) promoting the development and adoption of national guidelines for medical oversight, and (2) convening a Field EMS Medical Oversight Advisory Committee.

Directs the Comptroller General (GAO) to study issues related to emergency medical care in field EMS.

Authorizes the Administrator of the National Highway Traffic Safety Administration (NHTSA) to maintain, improve, and expand the National EMS Information System.

Sets forth reporting requirements relating to data collection and electronic health records.

Declares that the Health Insurance Portability and Accountability Act of 1996 (HIPAA) shall not be construed to prohibit certain exchanges of information between field EMS practitioners, hospital personnel, state EMS offices, and the National EMS Database. Requires the Secretary to establish guidelines for the exchange of information between field EMS practitioners and hospital personnel.

Authorizes the Director of the Office to make grants for the development, availability, and dissemination of field EMS education programs and courses that improve the quality and capability of field EMS personnel.

Requires the Director to conduct or support demonstrations projects relating to alternative dispositions of field EMS patients.

Amends title XI (General Provisions, Peer Review, and Administrative Simplification) of the Social Security Act to include field EMS as a model for testing by the Center for Medicare and Medicaid Innovation.

Amends the Public Health Service Act to require the Secretary to conduct research and evaluation relating to field EMS through the Agency for Healthcare Research and Quality (AHRQ) and the Center for Medicare and Medicaid Innovation.

Requires the Director of AHRQ to establish a Field EMS Evidence-Based Practice Center.

Amends the Internal Revenue Code to: (1) establish the Emergency Medical Services Trust Fund, and (2) allow taxpayers to designate a portion of any income tax overpayment and make additional contributions to finance such Fund.",,False,,"The bill focuses on improving emergency medical services and trauma care, primarily through government agency roles, grant programs, and data systems, without addressing private employer obligations on employee wages, hours, or benefits."
