unique_id,primary_offense_new
3659037,water pollution violation
7712620,air pollution violation
7703525,air pollution violation
7702588,air pollution violation
3658631,water pollution violation
3691536,underground storage tank violation
7698246,environmental violation
7698907,environmental violation
7701165,air pollution violation
7702892,pesticide violation
7705918,hazardous waste violation
7712485,environmental violation
7701313,air pollution violation
3680223,water pollution violation
7700789,hazardous waste violation
7712328,environmental violation
7702942,air pollution violation
7700788,underground storage tank violation
7700787,air pollution violation
7701869,air pollution violation
7697868,environmental violation
7698920,environmental violation
7699933,hazardous waste violation
7703588,water pollution violation
7696515,environmental violation
7699000,hazardous waste violation
7694424,environmental violation
3662928,environmental violation
7706926,hazardous waste violation
7701642,air pollution violation
7702323,air pollution violation
7701308,air pollution violation
7702781,hazardous waste violation
7701509,air pollution violation
7703031,air pollution violation
7706892,water pollution violation
7697604,environmental violation
7707501,water pollution violation
3666556,water pollution violation
3666613,air pollution violation
7696613,water pollution violation
7696605,water pollution violation
7696769,hazardous waste violation
3669943,environmental violation
7701633,air pollution violation
7710743,air pollution violation
7709347,air pollution violation
7698217,air pollution violation
7704573,air pollution violation
7695958,air pollution violation
7705429,air pollution violation
3188076,environmental violation
7703995,air pollution violation
7704675,air pollution violation
7707659,air pollution violation
7697814,hazardous waste violation
7701058,environmental violation
7712418,water pollution violation
7697410,hazardous waste violation
3691558,underground storage tank violation
7708494,air pollution violation
7711866,air pollution violation
7705710,hazardous waste violation
7700128,hazardous waste violation
7706983,hazardous waste violation
7702258,hazardous waste violation
4690673,water pollution violation
7693263,air pollution violation
7696503,hazardous waste violation
7710010,hazardous waste violation
7708989,environmental violation
7694738,water pollution violation
7692499,air pollution violation
7702419,water pollution violation
3673216,water pollution violation
7702841,air pollution violation
99826,oil spill
7707167,oil spill
3670819,water pollution violation
7712196,air pollution violation
7711816,air pollution violation
7712016,air pollution violation
7697463,hazardous waste violation
7710839,water pollution violation
7710849,air pollution violation
7701337,environmental violation
7706411,hazardous waste violation
3691521,underground storage tank violation
3691522,underground storage tank violation
3691523,underground storage tank violation
3691524,underground storage tank violation
3691525,underground storage tank violation
3691526,underground storage tank violation
3691527,underground storage tank violation
3691529,underground storage tank violation
7700792,environmental violation
3691598,underground storage tank violation
99540,air pollution violation
7710916,water pollution violation
7711216,air pollution violation
7699293,environmental violation
7693010,air pollution violation
7705862,hazardous waste violation
208124,air pollution violation
7703819,air pollution violation
3688822,environmental violation
7699638,environmental violation
7698916,environmental violation
7698762,environmental violation
7701618,environmental violation
7701603,environmental violation
7699262,environmental violation
7700288,environmental violation
7696154,environmental violation
7705787,hazardous waste violation
7712488,oil spill
3666671,air pollution violation
7705672,air pollution violation
7696459,environmental violation
3672279,water pollution violation
7705166,air pollution violation
99874,environmental violation
7696891,air pollution violation
7699862,air pollution violation
7705886,air pollution violation
7704617,hazardous waste violation
7699310,environmental violation
7707224,air pollution violation
3688661,environmental violation
3670688,water pollution violation
7710681,air pollution violation
7693569,water pollution violation
7693946,environmental violation
7696039,hazardous waste violation
7697177,hazardous waste violation
7698089,environmental violation
7701409,environmental violation
7709522,environmental violation
7702871,environmental violation
100076,environmental violation
7708990,hazardous waste violation
7710501,oil spill
7703897,pesticide violation
7698374,air pollution violation
7701714,pesticide violation
7703665,air pollution violation
7704122,air pollution violation
7712491,air pollution violation
7712243,environmental violation
7696163,environmental violation
7709824,air pollution violation
7703958,water pollution violation
7709305,pesticide violation
208081,air pollution violation
7701160,air pollution violation
7701169,air pollution violation
208059,air pollution violation
16171,air pollution violation
3678575,water pollution violation
7709491,air pollution violation
7711003,air pollution violation
7708453,air pollution violation
7705810,air pollution violation
7709420,pesticide violation
7705084,air pollution violation
3704991,oil spill
7695815,environmental violation
7710187,air pollution violation
7709722,air pollution violation
7693176,air pollution violation
7710147,air pollution violation
7694146,air pollution violation
7706914,air pollution violation
7700682,environmental violation
7704000,air pollution violation
7700587,air pollution violation
7700615,water pollution violation
7711679,water pollution violation
3658949,water pollution violation
3193475,water pollution violation
7710496,environmental violation
7701622,environmental violation
7696474,environmental violation
7696477,environmental violation
7706481,air pollution violation
7706301,oil spill
3194135,air pollution violation
7702911,air pollution violation
7702579,air pollution violation
7707352,air pollution violation
7708538,air pollution violation
7709700,air pollution violation
7693019,air pollution violation
7694863,air pollution violation
7696790,air pollution violation
7699710,air pollution violation
7705310,air pollution violation
7711208,air pollution violation
7703780,pesticide violation
3401951,environmental violation
7699267,environmental violation
7692468,oil spill
7706377,air pollution violation
16154,air pollution violation
7701964,air pollution violation
7707195,air pollution violation
7707811,water pollution violation
16115,air pollution violation
3195825,environmental violation
7702004,air pollution violation
7694418,environmental violation
7697529,environmental violation
7699168,environmental violation
3658474,solid waste violation
7696993,water pollution violation
7699417,water pollution violation
7696643,water pollution violation
7695634,water pollution violation
7695468,water pollution violation
7695469,water pollution violation
7697183,environmental violation
7698701,water pollution violation
7698702,water pollution violation
7698703,water pollution violation
7698387,water pollution violation
7695901,water pollution violation
3186415,drinking water violation
7701805,hazardous waste violation
7694196,environmental violation
7698241,environmental violation
7702634,air pollution violation
7702938,air pollution violation
7702581,air pollution violation
7711196,air pollution violation
7703072,air pollution violation
7710061,air pollution violation
2081566,pesticide violation
7711418,pesticide violation
3703856,air pollution violation
7705471,hazardous waste violation
7712573,hazardous waste violation
7702861,environmental violation
7705469,hazardous waste violation
7705470,hazardous waste violation
7705472,hazardous waste violation
7705473,hazardous waste violation
7698009,environmental violation
7707843,hazardous waste violation
7699148,environmental violation
7697222,hazardous waste violation
3662922,environmental violation
7704074,hazardous waste violation
4933376,water pollution violation
7693275,water pollution violation
7701020,environmental violation
3186460,water pollution violation
3186461,water pollution violation
3190430,air pollution violation
7700704,air pollution violation
7700722,oil spill
7693740,PCB violation
7706436,hazardous waste violation
7696502,hazardous waste violation
7712230,air pollution violation
7693956,environmental violation
7694719,air pollution violation
7701891,air pollution violation
3687159,water pollution violation
3679743,water pollution violation
3680135,water pollution violation
3680420,water pollution violation
3963944,water pollution violation
3963963,water pollution violation
7708575,air pollution violation
3186487,air pollution violation
7697551,air pollution violation
7700688,air pollution violation
7695459,air pollution violation
7696575,environmental violation
7696516,hazardous waste violation
7701364,environmental violation
7701471,environmental violation
7704815,water pollution violation
7703679,water pollution violation
7704681,air pollution violation
3682743,environmental violation
7697740,hazardous waste violation
7711707,water pollution violation
7711704,water pollution violation
7711708,water pollution violation
7711705,water pollution violation
7706388,hazardous waste violation
7698445,environmental violation
7700685,air pollution violation
7694635,air pollution violation
7700291,environmental violation
7705648,air pollution violation
7705859,hazardous waste violation
7705545,air pollution violation
7699002,hazardous waste violation
3964881,air pollution violation
7700100,environmental violation
7711495,environmental violation
3680339,water pollution violation
7705164,air pollution violation
7699192,hazardous waste violation
7694707,PCB violation
