primary_offense,secondary_offense,description,penalty_date,penalty,company,agency
benefit plan administrator violation,,Deficient Filer,20050822,10001,"MECHANICAL DYNAMICS, INC.",Employee Benefits Security Administration
wage and hour violation,,Poured Concrete Foundation and Structure Contractors,20210325,8868,"North American Concrete, Inc.",California Labor Commissioner's Office
wage and hour violation,,Overtime,20210719,50384,The Greenwood General Store,Illinois Department of Labor
wage and hour violation,,Apparel Manufacturing,20190408,9724,"G & A Garment Industry, Inc.",California Labor Commissioner's Office
wage and hour violation,,tipping pool violation,20211201,41560,Provision PGH LLC,Labor Department Wage and Hour Division
wage and hour violation,,Bonus,20230131,8356,Napleton Chevrolet,Illinois Department of Labor
wage and hour violation,Fair Labor Standards Act,Migrant and Seasonal Agricultural Worker Protection Act penalties included,20010315,20225,"Hannong Farm, Inc.",Labor Department Wage and Hour Division
benefit plan administrator violation,,Deficient Filer,20090608,10001,Checkmate,Employee Benefits Security Administration
wage and hour violation,,General Freight Trucking,20180807,79160,"Mayor Logistics, Inc.",California Labor Commissioner's Office
wage and hour violation,,overtime violation,20180117,5769,"THI of South Carolina at Spartanburg, LLC",Labor Department Wage and Hour Division
wage and hour violation,,Television Broadcasting,20220714,34021,"Bellum Entertainment, LLC",California Labor Commissioner's Office
wage and hour violation,child labor or youth employment violation,child labor penalties included,20090409,9653,"Pacific PJ, LLC",Labor Department Wage and Hour Division
wage and hour violation,child labor or youth employment violation,child labor penalties included,20120114,8000,Conley Resort and Golf,Labor Department Wage and Hour Division
wage and hour violation,,"Colleges, Universities, and Professional Schools",20080813,9755,"New College of California, Inc. dba New College of California",California Labor Commissioner's Office
WARN Act violation,,Operators of the Burke Mountain Mine Complex agreed to pay over $1 million to settle litigation alleging they failed to give proper notice under the Worker Adjustment and Retraining Notification Act to a group of laid off workers.,20190418,1270800,Bluestone Coal Corp. et al.,
wage and hour violation,,Telecommunications,20220310,26915,Malvi Systems LLC,California Labor Commissioner's Office
benefit plan administrator violation,,Deficient Filer,20180920,10001,"HAMPSHIRE FIRE PROTECTION CO., INC.",Employee Benefits Security Administration
benefit plan administrator violation,,Non Filer,20070709,50001,"GUARDENT, INC.",Employee Benefits Security Administration
wage and hour violation,,Restaurants and Other Eating Places,20230607,10894,Royal Cuisine,California Labor Commissioner's Office
wage and hour violation,,Security Guards and Patrol Services,20201217,7274,"Regional Protection Agency Services, Inc.",California Labor Commissioner's Office
