bill_id,category_ids,category_labels
hr4450-108,,
hr5439-111,15,Competition-related Offenses
hr840-114,2,Employment Discrimination
s2697-112,15,Competition-related Offenses
s3607-109,1,Wage Hour & Benefits
hr5283-111,,
hr2740-111,2,Employment Discrimination
hr4158-107,15,Competition-related Offenses
hr5819-113,,
s1902-111,15,Competition-related Offenses
s1424-107,12,"Fraud, Corruption & Criminal Conduct"
s2274-106,,
hr378-113,,
hr5447-111,1,Wage Hour & Benefits
s726-109,16;17;18;20,Air Violation;Water Violation;Earth Violation;Energy Efficiency
s1204-113,1;23,Wage Hour & Benefits;Healthcare Fraud & Compliance
hr2312-114,18,Earth Violation
s3707-115,25,National Security & Cybercrime
s3015-113,,
s1924-110,1,Wage Hour & Benefits
hr2027-114,12;26,"Fraud, Corruption & Criminal Conduct;Exploitation & Trafficking"
hr4782-114,,
hr4881-115,,
s2465-116,21,Animal Welfare
s448-115,23,Healthcare Fraud & Compliance
s2338-106,12;15,"Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
hr3664-115,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr4629-110,15,Competition-related Offenses
hr4317-112,9;15,Banking AML & Sanctions;Competition-related Offenses
hr600-110,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr797-111,16;17;18,Air Violation;Water Violation;Earth Violation
hr3752-110,10;15,Securities & Investor Protection;Competition-related Offenses
hr345-114,26,Exploitation & Trafficking
s1610-112,16;18,Air Violation;Earth Violation
s3442-115,,
s2132-107,24,Government Reporting & Compliance
hr3047-107,5;10;23,Consumer Safety;Securities & Investor Protection;Healthcare Fraud & Compliance
hr4486-106,,
s1272-108,4;12,"Workplace Safety;Fraud, Corruption & Criminal Conduct"
hr3738-111,10;15;22,Securities & Investor Protection;Competition-related Offenses;Government Contracting
hr654-112,14;24,Consumer Protection;Government Reporting & Compliance
hr6086-109,5;17;24,Consumer Safety;Water Violation;Government Reporting & Compliance
hr129-113,9;10;15,Banking AML & Sanctions;Securities & Investor Protection;Competition-related Offenses
hr4025-114,,
hr304-108,,
hr6165-111,10;15,Securities & Investor Protection;Competition-related Offenses
hr2182-113,,
hr4929-107,,
hr737-111,,
hr1152-110,,
hr2578-110,11,Accounting Financial Reporting & Tax
s690-115,22,Government Contracting
hr3220-112,,
hr2257-112,6,Transportation Safety
hr2115-115,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr6045-109,,
hr4356-106,14;23,Consumer Protection;Healthcare Fraud & Compliance
hr1076-111,12;26,"Fraud, Corruption & Criminal Conduct;Exploitation & Trafficking"
s1617-110,,
hr298-111,1,Wage Hour & Benefits
hjres18-116,,
s1194-107,17;18;24,Water Violation;Earth Violation;Government Reporting & Compliance
hr6264-110,10;15,Securities & Investor Protection;Competition-related Offenses
hr4466-114,17,Water Violation
s3208-109,15,Competition-related Offenses
hr3270-113,,
hr858-116,6,Transportation Safety
s3491-111,1;23,Wage Hour & Benefits;Healthcare Fraud & Compliance
hr1851-108,1,Wage Hour & Benefits
hr4656-109,17,Water Violation
s2827-110,16,Air Violation
hr3772-109,26,Exploitation & Trafficking
hr5394-110,15,Competition-related Offenses
s772-114,24,Government Reporting & Compliance
s948-110,,
s2745-107,15,Competition-related Offenses
s1981-109,11;15,Accounting Financial Reporting & Tax;Competition-related Offenses
s2972-113,5,Consumer Safety
hr3972-106,,
hr2431-110,6;15;22,Transportation Safety;Competition-related Offenses;Government Contracting
hr3576-111,12,"Fraud, Corruption & Criminal Conduct"
hr637-111,17,Water Violation
hr1323-110,,
hr5457-110,15,Competition-related Offenses
s2087-115,,
hr3743-106,15,Competition-related Offenses
hr3076-114,,
hr1138-112,,
s262-107,,
hr3978-109,18;22,Earth Violation;Government Contracting
hr1-115,10;11;15;24,Securities & Investor Protection;Accounting Financial Reporting & Tax;Competition-related Offenses;Government Reporting & Compliance
s2581-108,,
s1780-107,22,Government Contracting
s2829-108,1,Wage Hour & Benefits
s3483-112,17;22,Water Violation;Government Contracting
hr4079-113,10;15,Securities & Investor Protection;Competition-related Offenses
s2216-114,10;14;24,Securities & Investor Protection;Consumer Protection;Government Reporting & Compliance
hr5320-106,23,Healthcare Fraud & Compliance
hr2851-112,1,Wage Hour & Benefits
hr1217-108,22,Government Contracting
s3817-111,26,Exploitation & Trafficking
hr584-107,6,Transportation Safety
s1346-107,5;10;15,Consumer Safety;Securities & Investor Protection;Competition-related Offenses
hr2922-112,18,Earth Violation
hr4177-106,1,Wage Hour & Benefits
hr569-115,,
hr2026-113,17,Water Violation
hr1605-108,20,Energy Efficiency
hr6025-114,,
s1147-111,12;14,"Fraud, Corruption & Criminal Conduct;Consumer Protection"
hr2832-112,1;15;22,Wage Hour & Benefits;Competition-related Offenses;Government Contracting
hr5033-108,,
hr403-110,1,Wage Hour & Benefits
s3548-111,1,Wage Hour & Benefits
hr3231-115,,
s2884-113,12,"Fraud, Corruption & Criminal Conduct"
hr5170-106,11,Accounting Financial Reporting & Tax
s3063-111,18,Earth Violation
s3179-110,18;22,Earth Violation;Government Contracting
hr3443-115,1;14,Wage Hour & Benefits;Consumer Protection
hr2174-114,,
hr157-107,,
hr4619-114,10;24,Securities & Investor Protection;Government Reporting & Compliance
hr1419-108,11,Accounting Financial Reporting & Tax
hr1852-115,,
hr3872-114,10;15,Securities & Investor Protection;Competition-related Offenses
s3024-106,23,Healthcare Fraud & Compliance
s1364-107,10;15,Securities & Investor Protection;Competition-related Offenses
hr5440-115,24,Government Reporting & Compliance
hr3702-111,12,"Fraud, Corruption & Criminal Conduct"
hr975-109,18,Earth Violation
hr140-110,10,Securities & Investor Protection
s2353-114,,
hr5747-115,,
hr5434-107,10;15,Securities & Investor Protection;Competition-related Offenses
s1511-113,,
hr502-108,24,Government Reporting & Compliance
s819-115,1;2;10;15,Wage Hour & Benefits;Employment Discrimination;Securities & Investor Protection;Competition-related Offenses
hr2178-110,16,Air Violation
hr468-110,,
s3871-111,,
s183-114,,
hr4253-113,,
hr1235-110,,
hr3210-115,1,Wage Hour & Benefits
hr1520-109,11,Accounting Financial Reporting & Tax
hr830-115,9;12;15;24,"Banking AML & Sanctions;Fraud, Corruption & Criminal Conduct;Competition-related Offenses;Government Reporting & Compliance"
s3213-114,9;12;24,"Banking AML & Sanctions;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s1040-108,11;15,Accounting Financial Reporting & Tax;Competition-related Offenses
s1291-113,,
s395-108,,
hr6101-112,10;15,Securities & Investor Protection;Competition-related Offenses
hr2084-108,1,Wage Hour & Benefits
hr49-108,10;15,Securities & Investor Protection;Competition-related Offenses
hr5340-107,,
hr3217-107,14,Consumer Protection
hr4304-107,,
s3107-106,10;23,Securities & Investor Protection;Healthcare Fraud & Compliance
hr4246-115,18,Earth Violation
hr3407-115,6;10;15,Transportation Safety;Securities & Investor Protection;Competition-related Offenses
hr2107-114,,
