bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title
hr129-113,113,2013-01-03,Finance and Financial Sector,Administrative remedies|Banking and financial institutions regulation|Corporate finance and management|Department of the Treasury|Federal Reserve System|Federal appellate courts|Federal district courts|Financial services and investments|Securities|Supreme Court,"To repeal certain provisions of the Gramm-Leach-Bliley Act and revive the separation between commercial banking and the securities business, in the manner provided in the Banking Act of 1933, the so-called ""Glass-Steagall Act"", and for other purposes.",Return to Prudent Banking Act of 2013
s2216-114,114,2015-10-28,Finance and Financial Sector,Aging|Banking and financial institutions regulation|Civil actions and liability|Employment discrimination and employee rights|Financial services and investments|Fraud offenses and financial crimes,"A bill to provide immunity from suit for certain individuals who disclose potential examples of financial exploitation of senior citizens, and for other purposes.",Senior$afe Act of 2015
hr4619-114,114,2016-02-25,Finance and Financial Sector,"Administrative law and regulatory procedures|Administrative remedies|Banking and financial institutions regulation|Civil actions and liability|Commodities markets|Commodity Futures Trading Commission|Criminal investigation, prosecution, interrogation|Department of Justice|Department of the Treasury|Employment discrimination and employee rights|Evidence and witnesses|Federal Deposit Insurance Corporation (FDIC)|Federal Housing Finance Agency|Federal Reserve System|Fraud offenses and financial crimes|Government employee pay, benefits, personnel management|Securities|Securities and Exchange Commission (SEC)","To strengthen incentives and protections for whistleblowers in the financial industry and related regulatory agencies, and for other purposes.",WARN Act of 2016
hr3217-107,107,2001-11-01,Finance and Financial Sector,Collection of accounts|Consumer credit|Consumer protection|Debtor and creditor|EBB Terrorism|Fees|Financial services|Insurance companies|Securities industry,"To allow consumers a temporary 2-week grace period for payment of bills due to the extraordinary circumstances resulting from the disruptions and general uncertainty surrounding United States mail, and for other purposes.",Late Fee Relief Act
s2489-114,114,2016-02-03,Crime and Law Enforcement,"Administrative law and regulatory procedures|Business records|Civil actions and liability|Congressional oversight|Corporate finance and management|Criminal investigation, prosecution, interrogation|Currency|Department of the Treasury|Fraud offenses and financial crimes|Government information and archives|Government studies and investigations|Immigration status and procedures|Licensing and registrations|Office of Management and Budget (OMB)|Public contracts and procurement|Terrorism","A bill to ensure that persons who form corporations in the United States disclose the beneficial owners of those corporations, in order to prevent the formation of corporations with hidden owners, stop the misuse of United States corporations by wrongdoers, and assist law enforcement in detecting, preventing, and punishing terrorism, money laundering, tax evasion, and other criminal and civil misconduct involving United States corporations, and for other purposes.",Incorporation Transparency and Law Enforcement Assistance Act
hr857-111,111,2009-02-04,Finance and Financial Sector,"Administrative law and regulatory procedures|Bank accounts, deposits, capital|Banking and financial institutions regulation|Department of the Treasury|Financial crises and stabilization|Wages and earnings","To limit compensation to officers and directors of entities receiving emergency economic assistance from the Government, and for other purposes.",Limit Executive Compensation Abuse Act
hr1941-114,114,2015-04-22,Finance and Financial Sector,"Administrative remedies|Bank accounts, deposits, capital|Banking and financial institutions regulation|Consumer Financial Protection Bureau|Department of the Treasury|Executive agency funding and structure|Federal Deposit Insurance Corporation (FDIC)|Federal Reserve System|Judicial review and appeals|National Credit Union Administration","To improve the examination of depository institutions, and for other purposes.",Financial Institutions Examination Fairness and Reform Act
hr827-113,113,2013-02-26,Finance and Financial Sector,Civil actions and liability|Consumer affairs|Financial services and investments|Judicial review and appeals|Securities,"To amend the Securities Investor Protection Act of 1970 to provide one-time payments from the SIPC Fund for customers during a pending lawsuit by the Securities and Exchange Commission against the Securities Investor Protection Corporation, and for other purposes.",Improving Security for Investors and Providing Closure Act of 2013
s479-103,103,1993-03-02,Finance and Financial Sector,Administrative procedure|Capital formation|Government paperwork|Independent regulatory commissions|Information disclosure (Securities law)|Risk assessment|Securities|Securities and Exchange Commission|Securities regulation|Small business|State laws,A bill to amend the Securities Act of 1933 and the Investment Company Act of 1940 to promote capital formation for small businesses and others through exempted offerings under the Securities Act and through investment pools that are excepted or exempted from regulation under the Investment Company Act of 1940 and through business development companies.,Small Business Incentive Act of 1993
s1499-115,115,2017-06-29,Finance and Financial Sector,Banking and financial institutions regulation|Consumer Financial Protection Bureau|Government information and archives,"A bill to increase from $10,000,000,000 to $50,000,000,000 the threshold figure at which regulated depository institutions are subject to direct examination and reporting requirements of the Bureau of Consumer Financial Protection, and for other purposes.",Consumer Financial Protection Bureau Examination and Reporting Threshold Act of 2017
