bill_id,policy_area,subjects,introduced_at,official_title,short_title,congress_term,has_keywords,regulation,related_sentences
hr2847-103,Crime and Law Enforcement,AIDS (Disease)|Administration of criminal justice|Advertising|Air piracy|Aircraft|Airports|Aliens|American economic assistance|Americans in foreign countries|Amphetamines|Appalachia|Appellate procedure|Archives|Assassination|Assault|Athletes|Auditing|Authorization|Bail|Bank directors|Bank fraud|Bank robberies|Biological weapons|Burglary|Cabinet officers|Capital punishment|Census|Chemical industries|Chemical weapons|Chemicals|Child abuse|Child molesting|Child support|Civil actions and liability|Classified defense information|Coast guard|College students|Commemorations|Compensation for victims of crime|Computer crimes|Confession (Law)|Congressional reporting requirements|Conspiracy|Copyright royalties|Correctional personnel|Counterfeiting|Counterintelligence|Court records|Credit unions|Crime prevention|Crimes against women|Criminal investigation|Criminal justice information|Criminal justice information systems|Criminal procedure|Custody of children|Customs administration|DNA fingerprints|Data banks|Day care|Debarment of government contractors|Deceptive advertising|Department of Justice|Department of the Treasury|Destruction of property|Detention of persons,1993-08-03,To control and prevent crime.,Crime Control Act of 1993,103,1,,
s1488-103,Crime and Law Enforcement,Administration of criminal justice|Administrative procedure|Advertising|Air piracy|Aircraft|Airports|Alcoholism|Aliens|Alzheimer's disease|Americans in foreign countries|Ammunition|Amphetamines|Appellate procedure|Arrest|Arson|Art objects|Assassination|Assault|Assault weapons|Auditing|Authorization|Automobile theft|Bail|Bank failures|Bank fraud|Bank robberies|Bankruptcy|Biological weapons|Boundaries|Brain diseases|Burglary|Capital punishment|Chemical industries|Chemical weapons|Chemicals|Child abuse|Child molesting|Child pornography|Civil actions and liability|Classified defense information|Community health services|Community policing|Compensation for victims of crime|Computer crimes|Congressional reporting requirements|Conspiracy|Correctional personnel|Counterfeiting|Counterintelligence|Credit cards|Credit unions|Crime prevention|Crimes against the elderly|Crimes against women|Criminal justice information|Criminal justice information systems|Cultural property|Custody of children|DNA fingerprints|Data banks|Day care|Debit cards|Deceptive advertising|Department of Justice|Deportation|Destruction of property,1993-09-23,A bill to control and prevent crime.,Violent Crime Control and Law Enforcement Act of 1993,103,1,,
hr3355-103,Crime and Law Enforcement,"AIDS (Disease)|Academic performance|Accidents|Administration of criminal justice|Administration of justice|Administrative procedure|Administrative remedies|Advertising|Age discrimination|Aid to dependent children|Air piracy|Aircraft|Airports|Alcoholism|Alien labor|Aliens|Alzheimer's disease|Americans in foreign countries|Ammunition|Amphetamines|Appellate courts|Appellate procedure|Apprenticeship|Arrest|Arson|Art objects|Assassination|Assault|Assault weapons|Associations, institutions, etc.|Auditing|Authorization|Automobile theft|Bail|Ballots|Bank employees|Bank failures|Bank fraud|Bank robberies|Bankruptcy|Biological weapons|Black colleges|Blacks|Block grants|Boundaries|Brain diseases|Bribery|Building construction|Building materials|Burglary|Business and social problems|Buy American|Cabinet officers|Capital punishment|Chemical industries|Chemical weapons|Chemicals|Child abuse|Child development|Child health|Child molesting|Child pornography|Child support|Citizen participation in crime prevention|Civil actions and liability|Claims",1993-10-26,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to allow grants to increase police presence, to expand and improve cooperative efforts between law enforcement agencies and members of the community to address crime and disorder problems, and otherwise to enhance public safety.",Violent Crime Control and Law Enforcement Act of 1994,103,1,,
s1607-103,Crime and Law Enforcement,AIDS (Disease)|Administration of criminal justice|Administration of justice|Administrative procedure|Administrative remedies|Advertising|Aid to dependent children|Air piracy|Aircraft|Airports|Alcoholism|Alien labor|Aliens|Alzheimer's disease|Americans in foreign countries|Ammunition|Amphetamines|Appellate procedure|Arrest|Arson|Art objects|Assassination|Assault|Assault weapons|Auditing|Authorization|Automobile theft|Bail|Ballots|Bank employees|Bank failures|Bank fraud|Bank robberies|Bankruptcy|Biological weapons|Block grants|Boundaries|Brain diseases|Bribery|Building construction|Building materials|Burglary|Cabinet officers|Capital punishment|Chemical industries|Chemical weapons|Chemicals|Child abuse|Child development|Child health|Child molesting|Child pornography|Citizen participation in crime prevention|Civil actions and liability|Claims|Classified defense information|College students|Colleges|Commemorations|Community and school|Community development corporations|Community health services|Community organization|Community policing|Community schools|Community-based corrections,1993-11-01,A bill to control and prevent crime.,Violent Crime Control and Law Enforcement Act of 1993,103,1,,
hr4092-103,Crime and Law Enforcement,"AIDS (Disease)|Academic performance|Administration of criminal justice|Administration of justice|Administrative procedure|Administrative remedies|Age discrimination|Air piracy|Aircraft|Airports|Alcoholism|Aliens|Americans in foreign countries|Ammunition|Appellate courts|Appellate procedure|Apprenticeship|Arrest|Arson|Assassination|Assault|Assault weapons|Associations, institutions, etc.|Auditing|Authorization|Automobile theft|Bail|Bank fraud|Bank robberies|Biological weapons|Black colleges|Blacks|Burglary|Business and social problems|Buy American|Cabinet officers|Capital punishment|Chemical weapons|Child abuse|Child molesting|Child pornography|Child support|Citizen participation in crime prevention|Civil actions and liability|Clergy|Cocaine|College students|Colleges|Commemorations|Community health services|Community organization|Community policing|Community-based corrections|Compensation for victims of crime|Congressional Medal of Honor|Congressional reporting requirements|Conspiracy|Constitutional law|Construction industries|Correctional institutions|Correctional personnel|Cost effectiveness|Counseling|Counterfeiting|Crime prevention|Crimes against the elderly",1994-03-18,To control and prevent crime.,Violent Crime Control and Law Enforcement Act of 1994,103,1,,
hr3-104,Crime and Law Enforcement,Administrative procedure|Administrative remedies|Adult education|Aliens|Appellate courts|Appellate procedure|Arson|Assault|Assault weapons|Auditing|Authorization|Automobile theft|Block grants|Bribery|Building construction|Burglary|Capital punishment|Child abuse|Child molesting|Child support|Citizen participation in crime prevention|Civics education|Collection of accounts|Community development|Community development corporations|Community-based corrections|Compensation for victims of crime|Constitutional law|Contempt of court|Correctional institutions|Counterfeiting|Courts of special jurisdiction|Crime prevention|Crimes against the elderly|Criminal justice information|Criminal justice information systems|Criminal procedure|Damages|Day care|Delinquency prevention|Department of Justice|Deportation|District courts|Dropout prevention|Dropouts|Drug abuse|Drug abuse prevention|Drug testing|Education of socially handicapped children|Educational policy|Elementary and secondary education|Ethics|Evidence (Law)|Exclusionary rule (Evidence)|Executive reorganization|Explosives|Family violence|Federal aid to child welfare|Federal aid to community development|Federal aid to education|Federal aid to higher education|Federal aid to law enforcement agencies|Federal aid to vocational education|Federal aid to youth services|Federal employees|Firearms,1995-01-04,To control crime.,Taking Back Our Streets Act of 1995,104,1,,
hr728-104,Crime and Law Enforcement,Administration of criminal justice|Administrative procedure|Aircraft|Auditing|Authorization|Block grants|Boats and boating|Budget deficits|Child development|Citizen participation|Citizen participation in crime prevention|Combat vehicles|Community development corporations|Community organization|Community schools|Community-based corrections|Courts of special jurisdiction|Crime prevention|Criminal statistics|Delinquency prevention|Department of Justice|Depressed areas|Drug abuse|Drug abuse prevention|Drug law enforcement|Drug testing|Drugs and youth|Education of socially handicapped children|Educational policy|Elementary and secondary education|Employee selection|Equipment and supplies|Executive reorganization|Family violence|Federal advisory bodies|Federal aid to community development|Federal aid to law enforcement agencies|Federal aid to youth services|Federal budgets|Federal-local relations|Firearms|Firearms control|Gangs|Government consultants|Government paperwork|Government trust funds|Government vehicles|Infrastructure|Intergovernmental relations|Juvenile corrections|Juvenile delinquency|Juvenile delinquents|Law enforcement officers|Local officials and employees|Manpower training programs|Mediation|Military discharges|Military personnel|Motor vehicles|Narcotic traffic|Nonprofit organizations|Overtime|Parks|Parole|Planning-programming-budgeting|Police,1995-01-30,To control crime by providing law enforcement block grants.,Local Government Law Enforcement Block Grants Act of 1995,104,1,,
s816-104,Crime and Law Enforcement,AIDS (Disease)|Administrative remedies|Americans employed in foreign countries|Americans in foreign countries|Appellate courts|Armed forces abroad|Arrest|Authorization|Block grants|Capital punishment|Child pornography|Community development corporations|Community organization|Community policing|Community schools|Community-based corrections|Compensation for victims of crime|Congressional reporting requirements|Constitutional law|Correctional institutions|Courts of special jurisdiction|Courts-martial and courts of inquiry|Crime prevention|Criminal justice information systems|Criminal procedure|DNA fingerprints|Damages|Delinquency prevention|Department of Justice|Drug abuse|Drug law enforcement|Earnings|Educational policy|Elementary and secondary education|Evidence (Law)|Exclusionary rule (Evidence)|Explosives|Extraterritoriality|Federal aid to community development|Federal aid to education|Federal aid to law enforcement agencies|Fingerprints|Firearms|Forensic medicine|Frivolous lawsuits|Gangs|Government paperwork|Government trust funds|Grants-in-aid|Habeas corpus|Human immunodeficiency viruses|Identification of criminals|Income|Intergovernmental fiscal relations|Interstate compacts|Jury selection|Juvenile corrections|Juvenile delinquency|Law enforcement officers|Lawyers|Legal assistance to prisoners|Legal fees|Liens|Limitation of actions|Medical tests|Military base closures,1995-05-17,"A bill to provide equal protection for victims of crime, to facilitate the exchange of information between Federal and State law enforcement and investigation entities, to reform criminal procedure, and for other purposes.",Local Law Enforcement Enhancement Act of 1995,104,1,,
hr1710-104,Crime and Law Enforcement,"Administrative procedure|Administrative responsibility|Agricultural labor|Air piracy|Aircraft|Airports|Aliens|Americans in foreign countries|Ammunition|Appellate courts|Appellate procedure|Arms sales|Arson|Assassination|Assault|Associations, institutions, etc.|Authorization|Bank accounts|Bank fraud|Bank records|Biological weapons|Bombings|Business records|Cabinet officers|Capital punishment|Chemical weapons|Chemicals|Civil procedure|Classified defense information|Common carriers|Compensation for victims of crime|Computers and government|Congressional oversight|Congressional reporting requirements|Conspiracies|Conspiracy|Consumer credit|Counterintelligence|Court records|Courts of special jurisdiction|Criminal investigation|Criminal procedure|Criminal statistics|Damages|Data banks|Department of Justice|Deportation|Destruction of property|Detention of persons|Disciplining of employees|Discovery (Law)|District of Columbia|Electronic funds transfers|Electronic surveillance|Emergency medical services|Evidence (Law)|Exclusionary rule (Evidence)|Explosives|Export controls|Extortion|Extraterritoriality|Federal budgets|Federal employees|Federal installations|Federal office buildings|Federal officials",1995-05-25,To combat terrorism.,Comprehensive Antiterrorism Act of 1995,104,1,,
s1525-104,Crime and Law Enforcement,Business intelligence|Conspiracy|Corporate corruption|Corporation directors|Criminal liability|Electronic surveillance|Extraterritoriality|Fines (Penalties)|Foreign agents|Foreign corporations|Forfeiture|Larceny|Organized crime|Prosecution|Sentences (Criminal procedure)|Wiretapping,1996-01-25,"A bill to amend title 18 of the United States Code to prevent economic espionage and to provide for the protection of United States proprietary economic information in interstate and foreign commerce, and for other purposes.",Economic Espionage and Protection of Proprietary Economic Information Act of 1995,104,1,,
