bill_id,policy_area,subjects,introduced_at,official_title,short_title,congress_term,has_keywords,regulation,related_sentences
s24-103,Crime and Law Enforcement,Administrative procedure|Auditing|Classified defense information|Conflict of interests|Congressional ethics|Congressional investigations|Congressional reporting requirements|Cost control|Criminal investigation|Department of Justice|Disabled|Discrimination in employment|Ethics|Executive Office of the President|Executive reorganization|Federal employees|Federal officials|Financial disclosure|General Services Administration|Government attorneys|Government paperwork|Government publications|Governmental investigations|Legal fees|Members of Congress|Mentally handicapped|Misconduct in office|Official secrets|Physically handicapped|Presidential appointments|Prosecution|Removal of officials|Salaries|Special prosecutors|Transfer of employees|Travel costs,1993-01-21,"A bill to reauthorize the Independent Counsel Law for an additional 5 years, and for other purposes.",Independent Counsel Reauthorization Act of 1994,103,0,,
s200-103,Crime and Law Enforcement,"Corrections|Federal Prison Industries, Inc.|Government corporations|Government procurement|Prison labor|Quality of products|Standards",1993-01-26,"A bill to amend title 18, United States Code, to establish fair competition between the private sector and the Federal Prison Industries.",Federal Prison Industries Reform Act,103,0,,
hr665-103,Crime and Law Enforcement,Business records|Civil actions and liability|Corporate corruption|Criminal investigation|Embezzlement|Fines (Penalties)|Fraud|Injunctions|Insurance companies|Insurance law|Prosecution|Real estate appraisal|Valuation,1993-01-27,"To amend title 18, United States Code, to provide that fraud against insurance companies will be subject to strong Federal criminal and civil penalties.",Insurance Fraud Prevention Act of 1994,103,0,,
hr703-103,Crime and Law Enforcement,Buy American|Congressional reporting requirements|Corrections|Government corporations|Prison labor,1993-01-27,"To provide for pilot programs conducted by the Federal Prison Industries to test the feasibility of meeting the need for increased employment of Federal prisoners by producing items, for the private market, in conjunction with private United States firms, that would otherwise be produced by foreign labor.",Prison Inmate Training and Rehabilitation Act of 1993,103,0,,
s557-103,Crime and Law Enforcement,Bank fraud|Common carriers|Compensation for victims of crime|Consumer education|Credit cards|Crimes against the elderly|Debit cards|Deceptive advertising|Forfeiture|Fraud|Information services|Informers|Postal crimes|Prosecution|Sentencing guidelines|Telemarketing|Telephone|Victims of crimes,1993-03-10,A bill to combat telemarketing fraud.,Senior Citizens Against Marketing Scams Act of 1993,103,0,,
hr4399-103,Crime and Law Enforcement,Bank fraud|Common carriers|Compensation for victims of crime|Consumer education|Credit cards|Crimes against the elderly|Debit cards|Deceptive advertising|Forfeiture|Fraud|Information services|Informers|Postal crimes|Prosecution|Sentencing guidelines|Telemarketing|Telephone|Victims of crimes,1994-05-12,To combat telemarketing fraud.,Senior Citizens Against Marketing Scams Act of 1994,103,0,,
s2267-103,Crime and Law Enforcement,"Corrections|Disabled|Disaster relief|Employment of the handicapped|Federal Prison Industries, Inc.|Floods|Government corporations|Government procurement|Government trust funds|Industrial standards|Manufacturing industries|Minimum wages|Prices|Prison labor|Recycling industry|Recycling of waste products|Sheltered workshops|Surplus government property",1994-07-01,A bill to enable all able-bodied Federal prisoners to work.,,103,0,,
hr4922-103,Crime and Law Enforcement,Administrative fees|Administrative procedure|Business records|Civil actions and liability|Claims|Communication satellites|Compensation (Law)|Computer networks|Computer software|Congressional investigations|Congressional reporting requirements|Cost accounting|Criminal investigation|Department of Justice|Electronic surveillance|Equipment and supplies|Federal Communications Commission|Fines (Penalties)|Fraud|Government corporations|Government liability|Government paperwork|Grand jury|Maritime satellites|Radio broadcasting|Right of privacy|Space activities|Standards|Subpoena|Telecommunication industry|Telephone|Wiretapping,1994-08-09,"To amend title 18, United States Code, to make clear a telecommunications carrier's duty to cooperate in the interception of communications for law enforcement purposes, and for other purposes.",Communications Assistance for Law Enforcement Act,103,0,,
hr5008-103,Crime and Law Enforcement,Administrative procedure|Air piracy|Aliens|Appellate courts|Appellate procedure|Appropriations|Arson|Assault|Authorization|Automobile theft|Boundaries|Bribery|Budget deficits|Building construction|Burglary|Capital punishment|Child abuse|Child pornography|Civil actions and liability|Classified defense information|Congressional budget|Congressional reporting requirements|Conspiracy|Contempt of court|Counterfeiting|Criminal justice information|Criminal justice information systems|Criminal procedure|Department of Justice|Deportation|District courts|Drug abuse|Drug law enforcement|Espionage|Evidence (Law)|Exclusionary rule (Evidence)|Extortion|Federal aid to higher education|Federal aid to law enforcement agencies|Federal budgets|Federal employees|Federal-state relations|Financial statements|Fines (Penalties)|Firearms|Firearms control|Forced labor|Forgery|Fraud|Fugitives from justice|Government paperwork|Government spending reductions|Government trust funds|Habeas corpus|Higher education|Homicide|Illegal aliens|Income tax|Indian courts|Indian law enforcement|Injunctions|Intelligence officers|Intergovernmental fiscal relations|Judicial review of administrative acts|Jurisdiction|Kidnapping,1994-08-21,To combat crime.,Back-To-Basics Crime Control Act of 1994,103,0,,
s2431-103,Crime and Law Enforcement,Administration of criminal justice|Administrative procedure|Administrative remedies|Airports|Block grants|Bombings|Capital punishment|Child pornography|Classified defense information|Community development corporations|Community schools|Conspiracy|Correctional institutions|Counterfeiting|Covert operations|Crime prevention|Criminal justice information|Criminal justice information systems|Department of Justice|Deportation|Depressed areas|Drug abuse|Drug law enforcement|Drugs and youth|Elementary and secondary education|Espionage|Explosives|Federal aid to community development|Federal aid to education|Federal aid to law enforcement agencies|Federal aid to youth services|Firearms|Forced labor|Forgery|Fraud|Gangs|Habeas corpus|Identification of criminals|Illegal aliens|Imprisonment|Income tax|Intelligence officers|Judicial review of administrative acts|Juvenile corrections|Juvenile delinquency|Juvenile delinquents|Larceny|Law enforcement officers|Murder|Narcotic traffic|Organized crime|Passports|Perjury|Police|Prison alternatives|Prisoners|Prisons|Prosecution|Prostitution|Receiving stolen goods|Recruiting of employees|Revolving funds|Sabotage|Sentences (Criminal procedure)|Sentencing guidelines|Slavery,1994-09-13,"A bill to amend the Violent Crime Control and Law Enforcement Act of 1994 to reduce the amount of social spending, and for other purposes.",Crime Control Improvement Act of 1994,103,0,,
